Datetime,Location,Text,Like Count
2020-03-12 23:30:11+00:00,"Billings, MT",#Covid_19 has robbed @UNDmhockey of our 9th. That’s what hurts the most. #NCAA #1 #Pairwise #siouxforever #vivalasioux https://t.co/PtKUKJJBKN,0
2020-03-12 23:16:56+00:00,"Billings, MT",The #NCAA should make the bad teams still play the #NIT as a tribute ✌️ to the #Coronavirus #Covid_19 https://t.co/hlQEIFqveq,0
2020-03-13 06:17:33+00:00,Blue dot in Red Montana,"@WandaResists If watching the dumbest sh*t ever were a vaccine against COVID-19 then yes, we’re good. 

*Also see: any televised statement trump has ever made",0
2020-03-13 01:44:26+00:00,,This is a shout out to Donald Trump who is currently pissing me off. Everyone is fucking over exaggerating about covid-19. Or Corona virus. Its affecting elderly above fifty. There have been very little kid deaths. It's not gonna fucking wipe out the earth. Dipshits,0
2020-03-13 01:41:59+00:00,Blue dot in Red Montana,"“We are now in the chickens with their heads cut off phase of this virus.” 
~Donald McNeil, Science and Health journalist for the New York Times, speaking on this administrations handling of COVID-19. 

Pretty much sums it up. #Maddow",1
2020-03-15 02:47:29+00:00,"Billings, MT","@Jbrown21579 @umpattirecom Absolutely! A good shower and soap is the key. Same with COVID 19, wash your hands often.",1
2020-03-17 23:02:40+00:00,"Billings, MT","@Zigmanfreud They should be pointing out the only reason he calls it Chinese is because he can’t remember/pronounce Coronavirus, Wuhan, or Covid-19. Don’t turn it into racism when it is rooted in being a moron.",0
2020-03-18 14:46:44+00:00,Montana ,"Ugh I’m sick (but not with COVID-19) and I should probably go to the doctor, but I feel like I’d just get in the way of them helping out people with the virus. I don’t know guess I’ll just die then 🤷🏼‍♀️",0
2020-03-19 16:31:33+00:00,,"Covid-19 quarantine is like wearing yoga pants. At first it's awesome and you're so comfy. And then by the end, you're bloated with your belly rolls hanging over, being super uncomfortable and will do anything to get out of them.",7
2020-03-21 15:46:52+00:00,h o ll o w,@toriiijohnson What’s your take on COVID-19? Something serious? Overinflated? Just the flu?,0
2020-03-22 00:38:52+00:00,"Billings, MT","Haven’t watched Entertainment Tonight in a long time. Halfway through and not only am I rooting for Covid-19, but please god! Let the Yellowstone caldera blow!!! #extinctionevent #hollywoodisfullofterriblepeople",0
2020-03-24 21:37:06+00:00,"Billings, MT",Support charities responding to the COVID-19  https://t.co/3c78zuaxz5 https://t.co/tdJXBjySnn,1
2020-03-24 09:51:41+00:00,"Billings, MT","A Billings man is being quarantined at the jail tonight. NOT related to COVID-19. 

Fleeing &amp; eluding is not the same as #SocialDistancing. You have to stop if you see cherries and berries in your rear view. #Pursuit https://t.co/rt9wNIpKyJ",16
2020-03-25 23:52:06+00:00,Blue dot in Red Montana,"“We are writing the last will and testament that we never found time to write, but really need now because we are worried we might die of COVID-19.” 

This plea was written by the leaders of St. Vincent Healthcare and Billings Clinic Emergency Departments
https://t.co/HsobiJbmcP",1
2020-03-26 22:59:30+00:00,"Bozeman, MT",This comes right as Montana reaches 90 new Covid-19 cases. https://t.co/DgiDg5GxQq,1
2020-03-26 22:57:02+00:00,"Florida, USA","Governor Steve Bullock: blah blah blah important Covid-19 information.

Me: Hey he’s using a Blue Yeti microphone just like mine! https://t.co/4vTCgZtmFh",5
2020-03-26 16:05:47+00:00,,I bought plane tickets for Vegas today... here’s to praying Covid-19 is long gone by August because we are going to need a vacation,1
2020-03-26 03:31:14+00:00,United States,"Thank you, @dpcalliance and @KansasCityDPC, @halcyondpc, and @GoldDirectCare for leading a valuable Q&amp;A discussion on #DPC’s response to COVID-19.  @HintHealth is hosting a webinar with Jay Keese of @cap2hill this Thurs night. Don’t miss it! https://t.co/GkyNQdsdWK",6
2020-03-27 07:38:23+00:00,"Billings, MT","Our downtown in Billings, MT looks like a scene from “Walking Dead” — empty during rush hour. So eerie, as Montana locks down. #covid_19 #coronavirus #shelterinplace #billings #montana #pandemic @ Billings, Montana https://t.co/AgoNZ3tBqP",5
2020-03-28 04:27:30+00:00,Montana,#COVID19 #coronavirus #CoronaLockdown https://t.co/3wleeRcF2z,0
2020-03-28 00:08:03+00:00,"Billings, MT","@shannonrosssx It’s the same mentality of “why worry about Covid-19, it only kills (x) amount of people when (insert other thing) kills (this many) people”",0
