Datetime,Location,Text,Like Count
2020-03-11 22:23:32+00:00,,"Isn't it ironic the REPUBLICANS keep lying about the Covid 19 virus but they just keep catching it, you see you can hide you lies from us but your can't hide from God! You didn't know plague could reach the hidden places? I TOLD YOU KARMA WENT TO GO COLLECT REINFORCEMENTS ON YOU",0
2020-03-11 21:23:48+00:00,,Nebraska’s gift to Dababy is gonna be COVID-19,9
2020-03-11 21:10:32+00:00,"Maryville, MO",Are we overreacting to COVID-19?,0
2020-03-11 20:44:01+00:00,"Omaha, NE",100 of us are gathered in a conference room to discuss CoVid-19.,3
2020-03-11 20:04:29+00:00,"Omaha, NE","@nsaahome As a nurse, I can confidently say rejecting fans access to state basketball to “protect” them from COVID-19 is not only outrageous, it’s also extraordinarily irresponsible for such a large organization to fall into the hysteria of main stream media. Robbing the kids man",0
2020-03-11 19:50:00+00:00,"Lincoln, Nebraska","Anyone who thinks that, at this point, the Covid-19 is a hoax is just dumb. World wide organization? WHO comments and recommendations? And yet it’s a liberal hoax? Media-created hysteria? They are reporting facts to keep people informed. Stop with the nonsense.",2
2020-03-11 19:32:58+00:00,"Lincoln, Nebraska, USA","@SenatorRobHogg A perspective on #coronavirus from the #Nebraska Unicameral.

https://t.co/YSw0Ao5rRr #COVID19 #IAleg #neleg #ialegis",1
2020-03-11 19:28:50+00:00,"Lincoln, Nebraska, USA","@Adam_Morfeld Thoughts from a Iowa State Senator.

https://t.co/5ko8hRUF6G

#coronavirus #COVID19 #IAleg #neleg",2
2020-03-11 18:40:44+00:00,,"#RightNow there are 2 numbers people in Pottawattamie County can call with any questions or concerns they have when it comes to COVID - 19. (712)890-5368 and (712)890-5369. 

@WOWT6News https://t.co/KCuY880brB",1
2020-03-11 18:08:16+00:00,"Maryville, MO",COVID-19 will not stop me from attending the D2 Central Region Tournament. Give me basketball or give me death!,4
2020-03-11 16:18:41+00:00,"Omaha, NE",UPDATE: the Lancaster county health department is recommending the NSAA only allow immediate family members be into the boys high school state basketball tournament in order to help prevent the spread of COVID-19.,6
2020-03-11 16:15:10+00:00,"Knoxville, TN",Mayor Baird has just started the presser announcing there are still no confirmed cases of COVID-19 in Lincoln and Lancaster County. https://t.co/1qWQQwhXgW,7
2020-03-11 15:47:52+00:00,"Omaha, NE","Lincoln Mayor is soon expected to discuss the boys high school state basketball tournament amid COVID-19 concerns. NSAA board says as of right now the tourney is still on. Of course, we will learn more at 11. Stay tuned on @Channel8ABC https://t.co/knDlc4pHSy",1
2020-03-11 13:24:12+00:00,"Nebraska, USA","Guy at my new job yesterday let the word #Obama slip during a brief Covid-19 discussion. Something about how ""Obama let 1,000 people die before they did something"" etc. Noticed he was sanitizing the office and bathrooms after that...",0
2020-03-11 00:01:27+00:00,"Lincoln, NE",The total of confirmed COVID-19 cases in Nebraska is now at 4. https://t.co/ICzP4XuMHk,0
2020-03-12 23:12:12+00:00,"Omaha, Nebraska",Another casualty of the #coronavírus. #3teeth cancel the U.S.A. leg of #metaxtour. #covid19 @ The Waiting Room Lounge https://t.co/bj575rssC5,0
2020-03-12 22:45:46+00:00,"Council Bluffs, IA","@Stibbs In light of the chaos COVID-19 has done, I think you should play an NCAA March Madness tournament...#JustAThought #FriendOfTheProgrum",1
2020-03-12 21:59:13+00:00,"Omaha, NE",If #Covid_19 ate brains it would have died off already because people out here acting like they don’t have one.,9
2020-03-12 21:06:17+00:00,"Nebraska, USA","Due to growing health concerns and the overall state of COVID-19, we are asking all of our Fellows to put themselves, their teams and most importantly their families to the highest priority.

Stay home. Stay focused. Stay healthy.

TSC will be doing the same until further notice. https://t.co/UMTiiUy9tu",1
2020-03-12 20:53:04+00:00,"Omaha, NE","There has been a significant amount of concern raised recently about COVID-19, a relatively recently discovered disease caused by a… https://t.co/jpSJbDWKtV",0
2020-03-12 20:33:22+00:00,"Elkhorn, NE",I haven’t felt this shocked by daily news and breaking news updates since September 11th #Covid_19,0
2020-03-12 19:07:16+00:00,Council Bluffs,@OmahaParliament Still doubtful until USL-1 releases an official statement of intent in regards to covid-19. Only news today so far out of USL has been in regards to USL-C,0
2020-03-12 17:59:16+00:00,"Omaha, NE",Oh good ! Someone tell my entire family down in KS this! They’ll be posting even MORE that influenza and covid-19 aren’t real and if we just wash our hands the hospitals won’t be overflowing. https://t.co/MdD8LHBtCC,3
2020-03-12 17:55:18+00:00,"Bellevue, NE",@KyleLarsonRacin All y’all triggered people here should do some research on COVID-19 and how some 95% of cases don’t even need to be hospitalized. Mortality rate for a healthy person is 0.2% or something like that. Wash your hands and don’t touch your face. It’s that easy.,0
2020-03-12 12:17:35+00:00,"Papillion, NE",COVID-19 is going to be tough for those of us in the medical field. Bring your patience if you’re our patient! https://t.co/xxmiFSCQgZ,0
2020-03-12 11:31:48+00:00,NEBRASKA,It’s #pajamaday at work today #remotework #coronavirus #Covid_19 #wfh #linkedinlife,1
2020-03-12 09:04:24+00:00,,"Agreed! Globally the mortality rate of COVID-19 is 3.4% (currently). Previous estimate was 2%. That’s a very drastic difference from the flu (.1%). Now Imagine how many deaths there would be if everyone who got the flu got COVID-19 —&gt;45 mill x .034= 1,530,000 deaths...just sayin! https://t.co/zjoR0vhATH",6
2020-03-12 04:55:01+00:00,Omaha,@mruhaak @nknakpatiwak @PhilBergmanTV For Influenza the turnaround is speedy but for Covid-19 the test results take hours (I believe the Cleveland Clinic got test times down to 8 hours.),1
2020-03-12 03:31:54+00:00,"Omaha, NE","Yo. For a brand like the NBA, that makes crazy money on games and TV, to shut downs means that this COVID-19 no game. I’m shocked and convinced their is more we haven’t been told",7
2020-03-12 02:47:19+00:00,Neoptolemus,Our safety is being threatened by Covid-19 Muiday https://t.co/rARDpOJRRJ,0
2020-03-12 01:19:37+00:00,still looking,@maddow The covid 19 cases we have in Omaha came from a woman returning from a trip to the U.K.,0
2020-03-12 00:54:43+00:00,"Omaha, NE",@realDonaldTrump @VP @SenSasse @SenatorFischer @RepDonBacon @GOP @TheDemocrats #COVID19 #Coronavirus https://t.co/QTxlXNi2wk,0
2020-03-13 23:35:23+00:00,"Nebraska, USA (NE-02)",Apparently bananas will protect you from Covid-19 by the looks of this. @WestOProblems @ErinGraceOWH https://t.co/zk80qJEHxT,17
2020-03-13 22:21:13+00:00,🌽🌽,BREAKING: The Duolingo Owl has tested positive for COVID-19 https://t.co/5GQXJ0WiCH,23
2020-03-13 21:49:13+00:00,"Springfield, MO",#Wichita #CoronaOutbreak #CoronavirusPandemic #Covid_19 #COVID #CoronaVirusUpdates https://t.co/XRwzseO33W,0
2020-03-13 20:20:45+00:00,"Omaha, NE","People don't understand that the threat isn't the lethality of COVID-19, it's for it's potential to completely cripple our entire healthcare system. I see this every single day I go into work and I am legitimately worried. This is an emergency and needs to be taken VERY SERIOUSLY",9
2020-03-13 20:18:48+00:00,"Elkhorn, NE","BREAKING: President Trump declares #NationalEmergency due to COVID-19.
Elkhorn Public Schools are still scheduled to be reopened March 24th. 
Remember to wash your hands and stay inside if you’re sick! 🧼🦠
#ANTLERNATION",11
2020-03-13 19:39:05+00:00,"Omaha, Nebraska",Updated story on the district closure due to COVID-19: https://t.co/MkFubHU3tL,5
2020-03-13 19:26:25+00:00,Earth,I'm raising money for Understanding Pandemics Amid Carona Virus. Click to Donate! @OPS_Burke @BurkeMotivation @OPS_Sciences @OmahaPubSchool #ngss #engagement #science #COVID19 #Caronaviruspandemic #CoronaOutbreak https://t.co/WFEKia663e,0
2020-03-13 19:26:13+00:00,"Omaha, NE",I'm raising money for Understanding Pandemics Amid Carona Virus. Click to Donate! @OPS_Burke @BurkeMotivation @OPS_Sciences @OmahaPubSchool #ngss #engagement #science #COVID19 #Caronaviruspandemic #CoronaOutbreak https://t.co/DFNJBEp6Ey,4
2020-03-13 19:07:50+00:00,United States,"The health and safety of our BBarflies is our highest priority.  We are closely monitoring the coronavirus (COVID-19) as it evolves locally and nationally.

To ensure the safety and cleanliness of our store, we are heeding the advice of the experts and doing the following: https://t.co/h3fXwwEW78",0
2020-03-13 19:04:16+00:00,"8930 S. 137th Circle, Suite 2",Updated Statement on Coronavirus (COVID-19) for our Xedge athletes as of 2pm 3/13/20.  We are OPEN for all training at all locations at this time.  Please see our statement below.  If anything changes we will let you know. https://t.co/KlRefc614d,9
2020-03-13 18:58:35+00:00,"Nebraska, USA",@SharonSandeen What I meant to say is that perhaps the immune response to the vaccine is not what they want when COVID-19 is floating about.,0
2020-03-13 18:24:37+00:00,"Omaha, NE","Wolves Soccer Club statement on #COVID-19

Out of an abundance of caution, Wolves SC is cancelling all indoor practices and activities in the Omaha area through the weekend of March 14-15: https://t.co/BLQo0P9Ntj",2
2020-03-13 18:09:11+00:00,,"@original_cg They've known about this covid-19 since January Trump made his lap dogs &amp; boot lickers to keep it quiet, door the sake of his re-election 😠 this ""BITCH"" TRIED TO GENTLY GENOCIDE US! but the whistleblower just now coming out in March go figure?",1
2020-03-13 17:49:25+00:00,"Omaha, NE","To our show choir parents, Surround Sound will not be attending the Hinton competition on Mar. 21 to ensure the safety of our students from the spread of COVID-19. While our season stops here, the music will always keep going. ❤️ #opsproud #omahabryan #staystrong #showchoir",8
2020-03-13 17:06:40+00:00,"Omaha, NE","@MattSerweKETV well i currently can’t go back to college so my normal routine is gone, but once i have online work to do i will probably feel a little better. i try to be educated by the right people about covid-19, and when i am not doing that i paint and watch things that aren’t news-centered",2
2020-03-13 17:06:08+00:00,"La Vista, Nebraska","It seems like news is changing every hour with COVID-19. As you make plans to handle this rapidly changing situation, rest assured that we plan on operating business as usual. We’ll maintain the high standards of sanitation and cleanliness that https://t.co/s1hiyaOnTi",23
2020-03-13 15:32:50+00:00,"New York, NY",How concerned are you about the spread of covid 19 in the United States?,0
2020-03-13 14:40:49+00:00,"Council Bluffs, IA",COVID-19 can’t be worse than geometry 2 tho...right?,2
2020-03-13 13:14:47+00:00,"Omaha, NE","For more info about local closings, delays, &amp; overall safety tips for COVID-19. Click below 👇👇👇 

https://t.co/Q4IbyAjX1L",1
2020-03-13 10:28:36+00:00,"Omaha, Nebraska","Have questions about coronavirus (COVID-19, screenings or our Hotline? Dr. Bill Lydiatt is answering your questions live with @3NewsNowOmaha https://t.co/HsW21g67Rv",1
