Datetime,Location,Text,Like Count
2020-03-11 20:45:23+00:00,USA,Covid-19 https://t.co/cYaKQyxob1,0
2020-03-11 19:00:21+00:00,#RemoteWork #Boston ,"🐁 🐭 Got mice? A #Coronavirus Cure Depends on Rare Mice, But There Aren’t Enough - Bloomberg https://t.co/9tgOFRQ67d #COVID19 #COVID2019 #COVIDー19",4
2020-03-11 18:28:29+00:00,#RemoteWork #Boston ,Thoughts on this #COVID19 #COVID2019 #coronavirus advice @daniel_kraft? @IrmaRaste https://t.co/QQfv1h13lv,8
2020-03-11 16:44:30+00:00,"Lowell, MA",Im tired of shit closing and being rescheduled due to the hysteria around COVID-19. WASH YOUR FREAKING HANDS PEOPLE YOURE FINE 🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️,0
2020-03-11 15:06:11+00:00,,@thehill @VP Ridiculous. @GOP @VP @realDonaldTrump are all in denial. Just one contaminated person with whom the President shakes hands can then pass the virus to all other Persons with whom he shakes hands. #COVID19 #TrumpFail #GOPDenial #Stupid,0
2020-03-11 14:59:23+00:00,#RemoteWork #Boston ,"#China is using #AI, #Robots &amp; other high Tech products to fight against #CoronaVirus @InsaneTech_  #drones #COVID19 #COVID2019 #COVIDー19 https://t.co/ABsVUmOrR3",28
2020-03-11 14:52:37+00:00,#RemoteWork #Boston ,❤️ 🇮🇹 Italians from all walks of life told us the ups and downs brought by a nationwide lockdown to curb the spread of #coronavirus.#ItalyCoronavirus #italystaystrong #COVID19 #COVID2019 #COVIDー19 https://t.co/lQnK7u9ufE,28
2020-03-11 14:48:44+00:00,#RemoteWork #Boston ,"Scientists are worried that the rush to develop a #coronavirus vaccine could increase the risk of ‘vaccine enhancement,’ where the vaccine could make the disease worse when a vaccinated person is infected https://t.co/seRvUDP5fv #biotech #Biotechnology #COVID19 #COVIDー19 https://t.co/2kDWNCaRDw",11
2020-03-11 14:42:15+00:00,#RemoteWork #Boston ,😳 #Airports around the world are emptying as #coronavirus becomes a major crisis for the #travel industry #airtravel #businesstravel #airlines #aviation #COVID19 #COVID https://t.co/ZsOLNvVEuX,94
2020-03-11 14:32:51+00:00,Northeastern US,@MollyJongFast What does she think of trump bailing out hotels losing money due to COVID-19? I wonder how much trump properties will receive.,0
2020-03-11 12:57:21+00:00,New Hampshire,Thanks to COVID-19 we’re doing Zoom meetings.,0
2020-03-11 12:16:29+00:00,#RemoteWork #Boston ,"How #Italy is handling over 10K #coronavirus cases:
- All shops must close by 6 p.m.
- No public gatherings, schools will remain closed
- Hospitals have built tents to test and treat patients #COVID2019 #COVID #italylockdown  https://t.co/sUef2gocpD",12
2020-03-11 11:37:40+00:00,#RemoteWork #Boston ,#callcenters will need to move remote as well @DaveMichels @McGeeSmith @blairplez #contactcenter #cctr #cx #CustomerService #remotework #remoteworking #coronavirus #COVID19 #COVID2019 https://t.co/IGVxuKuTwf,17
2020-03-11 11:33:18+00:00,#RemoteWork #Boston ,#coronavirus is upending college campuses around the U.S. #COVID19 #COVID2019 #COVID #colleges #DistanceLearning #remotelearning @Thomas_Capone #CoronavirusPandemic https://t.co/98gHPS3rNO,36
2020-03-11 11:31:40+00:00,#RemoteWork #Boston ,RIP #Olympics2020? #coronavirus #COVID19 #COVID2019 #Tokyo2020 #TokyoOlympics  https://t.co/TjE0zqMKhz,17
2020-03-11 08:22:05+00:00,"New Hampshire, USA",@AlixxaPlays Thanks to COVID-19 spring break might be extended for my college,0
2020-03-11 08:19:20+00:00,,@amazon and now a seller is asking  $67.49. Why is this allowed?  #pricegouging #coronavirus #COVID19 https://t.co/BSjFj2Xreo,0
2020-03-11 04:16:33+00:00,#RemoteWork #Boston ,Three #TSA officers at #SanJose Int’l Airport have tested positive for #coronavirus. TSA: “all TSA employees they have come in contact with (them) over the past 14 days are quarantined at home.” #SJC  #airtravel #SiliconValley #COVID19 #COVID2019 https://t.co/ueYR6tPj6I,19
2020-03-11 03:39:00+00:00,#RemoteWork #Boston ,#airtravel in the age of #coronavirus #COVID19 https://t.co/fa3WjmFABe,38
2020-03-11 03:29:42+00:00,#RemoteWork #Boston ,That time @BillGates nailed it #coronavirus #CoronaOutbreak #COVID19 #COVID2019 #COVIDー19 #Corona @IrmaRaste @eViRaHealth @daniel_kraft @ExponentialMed https://t.co/rQ4oF6ZoJX,21
2020-03-12 21:43:28+00:00,"Manchester, NH","Hey guys!

I'm legit scared now!

😨👺😱

#Covid_19",2
2020-03-12 21:26:43+00:00,"New Hampshire, USA","As we all work from home, you can expect bandwidth to die #COVID19 #Coronavirus #CoronaOutbreak #CoronavirusPandemic #WorkFromHome #internet https://t.co/jV6nznUw7u",0
2020-03-12 19:13:19+00:00,"Manchester, NH","Credit Unknown:

BREAKING: The World Health Organization has announced that dogs cannot contract Covid-19. Dogs previously held in quarantine can now be released. To be clear, WHO let the dogs out.",0
