Datetime,Location,Text,Like Count
2020-03-11 23:16:02+00:00,"Ridgewood, NJ",Flattening the #Coronavirus Curve https://t.co/Kafn4oZflD #COVID19  #protection,0
2020-03-11 22:49:15+00:00,New Mexico,"If you are sick, please stay home and seek medical attention as needed. If you have recently traveled to a COVID-19 (coronavirus) hotspot and have questions or concerns about the virus - contact the @NMDOH’s dedicated hotline 📲 https://t.co/eUAYrrGhFw",10
2020-03-11 22:47:37+00:00,"New Mexico, USA",We officially live under an authoritarian regime. #COVID19 #coronavirus https://t.co/tBO7QgwWoi,2
2020-03-11 22:32:14+00:00,"Gallup, NM","I thought USA is one of the most Advanced and safest countries.. guess what Im taking it back! No hate but theyre not even taking Covid-19 serously ASF like theyre still chilling... until when will u stop chillin? When Americans are on the verge of death! 
#CancelEverything",1
2020-03-11 22:01:45+00:00,"Gallup, NM",Covid-19 just entered New Mexico... Now what??? The best option before everything goes out of hand #CancelEverything before more lives get wasted!  I still have Dreams so as everybody else and we can't fulfill those dreams if everything is botched up! Please! #CancelEverything,1
2020-03-11 20:50:29+00:00,New Mexico,"Taking protective social measures – canceling events, working from home, self-quarantine, etc. – can help slow the spread of an outbreak such as the Novel Coronavirus (COVID-19.) Epidemiologists call this strategy #flatteningthecurve, and it looks like this: https://t.co/ABI03fiaeT",22
2020-03-11 18:37:35+00:00,"Albuquerque, New Mexico","Yes, New Mexico has cases of Covid19. We also have a smart, proactive plan and solid leadership from our Governor. If you have questions or concerns, call the state hotline 855-600-3453. #beprepared #COVID19 #covid19nm #covid19abq #coronavirus #governornm
#NewMexico #albuquerque",3
2020-03-11 18:29:02+00:00,"Santa Fe, NM",Gov. Lujan Grisham  has declared State of Emergency in New Mexico after 3 cases of COVID-19 confirmed by health officials!,0
2020-03-11 18:15:22+00:00,New Mexico,"For accurate, timely information and guidelines regarding COVID-19 in the United States and abroad, visit the Center for Disease Control and Prevention (@CDCgov) website: https://t.co/rfkvBN1s6O",0
2020-03-11 18:15:21+00:00,New Mexico,.@UNMHospital has been notified by the @NMDOH that there is one presumed confirmation case of Novel Coronavirus (COVID-19) from a patient that was seen at a UNMH outpatient clinic. https://t.co/rUuv2Hkftb,9
2020-03-11 18:05:19+00:00,"The Burque, NM","I guess the upside of the US government response to the coronavirus is that #COVID19 will disproportionately affect Trump followers. Which, in the long run, will be a net benefit for society.
#Darwin",5
2020-03-11 17:09:38+00:00,"California, USA",My brother just got tested for COVID-19 and he just has allergies LMAO,1
2020-03-11 16:50:02+00:00,"Rio Grand Valley, NM",Applying CATASTROPHIC TRIAGE to COVID-19 https://t.co/RefuXnHMt5,0
2020-03-11 16:31:36+00:00,"Las Cruces, NM",2 positive COVID-19 tests in #NewMexico https://t.co/4sAGyRwRLS,0
2020-03-11 15:44:31+00:00,"Rio Grand Valley, NM","I'm one of those that probably will not survive Covid-19 IF I get it. I'm doing everything I can to isolate myself &amp; prevent getting it.
But I'm pragmatic.
I need to make a WILL &amp; I only have my phone. Can someone please point me to a template I can use?
Thanks",19
2020-03-11 15:41:07+00:00,WA➡️ CA➡️ NM➡️ MO,Breaking: 3 New Mexico residents tested presumptive for COVID-19 @KOB4 #coronavirus https://t.co/CrD4uyR9hg,2
2020-03-11 15:34:30+00:00,NewMexico,"Still safe.
COVID-19 Test Results in New Mexico

As of end-of-day March 10, 2020

Positive 0
Negative 87
Total Tests 87

*Numbers are cumulative persons tested through March 10, 2020 and… https://t.co/cUwI3BtKW6",0
2020-03-11 14:15:48+00:00,"Albuquerque, NM","There are many of us for whom the threat of COVID-19 is minimal. 

We’re young, healthy.

But think about every vulnerable person you’ve interacted with in the past two weeks. Parents. Grandparents.

Think about them possibly being gone in months. Weeks.

Be responsible.",131
2020-03-11 12:07:25+00:00,,"Dr Cox has been getting a lot of questions about the #coronavirus - listen in for what she has to say. 
#BacktoBasics #takecare #COVID19 https://t.co/YmArOObjhp",0
2020-03-11 04:10:06+00:00,"Albuquerque, New Mexico","Thank you, Presbyterian for removing the financial barriers to testing for Covid19.
Will NM government follow their lead and mandate that all other NM insurers provide free testing also? Let's keep our state ahead of the coronavirus. https://t.co/cGB2kWeA9z #abq via @abqjournal",2
2020-03-12 23:32:41+00:00,"Albuquerque, New Mexico","As of right now, no less than 8 performing companies/troupes in #Albuquerque have canceled or postponed performances due to COVID-19 concerns. This is devastating. In the arts, our livelihoods hang in the balance of… https://t.co/tPJujLu0Sz",3
2020-03-12 22:16:56+00:00,"Albuquerque, NM","(1/2) Many of you have reached out to me with questions about the @UNM response to COVID-19. Although I can not respond to each of you individually, please know I am working closely with University and health leaders to determine the best course forward.",84
2020-03-12 21:53:37+00:00,"Albuquerque, NM",Helpful info from @UNMHSC on how to identify the symptoms of COVID-19 vs. allergies &amp; the flu 👇 #TheMoreYouKnow #COVID19 #nmpol #nmleg https://t.co/M9wOXACFeX,7
2020-03-12 21:41:30+00:00,"Albuquerque, NM",Spring break is upon us. So is COVID-19 epidemic ✨ https://t.co/LXgSloZjDM,0
2020-03-12 21:23:01+00:00,"Albuquerque, NM","Why do I plan.  
Me-“perfect time to have my hip replacement surgery.  March 19 I can have 2 weekends of NCAA tournament to watch while recovering!”
COVID-19- I’ll take care of that! https://t.co/zpTjksCNr6",0
