Datetime,Location,Text,Like Count
2020-03-11 23:01:41+00:00,,"That GOP whi wished SCOTUS RBG to get the COVID-19,  may you sir and your family https://t.co/LOj5VXnHNm dare you!!",0
2020-03-11 21:42:11+00:00,"West Fargo, ND","Read the latest COVID-19 update from @MStateCollege 

https://t.co/ybcFIKjBmv",0
2020-03-11 19:47:54+00:00,Midwest ,"“What would a fast, coordinated, collective response to climate change look like?” #climatecrisis #COVID19 #coronavirus https://t.co/vfycDlmBpb",1
2020-03-11 19:05:28+00:00,"Fargo, ND",Coronavirus: WHO classifies COVID-19 as a pandemic #Coronavirus https://t.co/9yYSAYnozu,0
2020-03-11 11:54:30+00:00,"ÜT: 46.840491,-96.805007",Feeling pretty fortunate that our institutional Zoom account was established earier this year! Seven Best Practices for COVID-19-Necessitated Online Meetings | Learning Innovation https://t.co/jLbcppB6X4,4
2020-03-12 23:50:48+00:00,,"No one's asking the real questions, so I guess I will. How long until there's COVID-19 storyline videos on pornhub?",18
2020-03-12 22:32:56+00:00,"Fargo, ND","I've been trying to cancel my flight with @Delta since this morning due to #Covid_19 - can't do it online because of technical issues, the # supplied brings you to to a random survey, if you call customer service it has 4hr wait time! What now?",0
2020-03-12 22:00:39+00:00,"Fargo, ND","In response to COVID-19, @TannerJohnson07 will continue to live his average life and attend Chubs Pub tonight along with participating in Friday Beers tomorrow with the fellas. Take care of yourselves",29
2020-03-12 17:23:00+00:00,North Dakota ,So NBA season is suspended MLB is going to suspend later today. Does that mean colleges need to cancel for awhile too. We need to keep everyone safe. The COVID-19 can live in the air for up to 3 days. KEEP US SAFE!!,1
2020-03-12 16:17:27+00:00,"Fargo, ND",UPDATE: The 24th annual St. Patrick's Parade in Downtown Fargo-Moorhead has been canceled. The Downtown Community Partnership has made the decision to cancel this year’s parade based on the heightened concerns of the potential risk of spreading the COVID-19. https://t.co/4wF8GLvEq7,2
2020-03-12 16:09:00+00:00,"Fargo, ND","@Delta Ive been trying all morning to cancel my flight for next week due to the Covid-19 outbreak. Your site keeps giving me an ""oh no...we are unable to process your request message with a phone # that when called brings me to a survey 😑 
So, SO frustrating",0
