Datetime,Location,Text,Like Count
2020-03-11 23:44:46+00:00,"Oklahoma, USA",NJCAA releases statement regarding COVID-19 (3-11) https://t.co/Qfi1B2xWkd,0
2020-03-11 23:30:10+00:00,"Oklahoma, USA","Based on info from @WHO Coronavirus is basically a cold, right?!? It’s killing elderly people, like the cold and flu do every year.  I’m confused why the world is canceling everything and acting like it’s an “I Am Legend” pandemic.🤨🤔 maybe I’m an idiot 🤷🏼‍♀️ #COVID19 #coronavirus https://t.co/9bfN3FwODE",0
2020-03-11 23:19:38+00:00,"South English, IA","Patient with COVID-19 in ""critical condition"" at Iowa City Hospital https://t.co/BGg2KZkU00",0
2020-03-11 23:07:37+00:00,A football field,"NEW: Oklahoma State is Pondering a Plan regarding COVID-19, but the NCAA has Laid Down a Precedent #OkState 

https://t.co/d6QsMziQhO https://t.co/xIt4ZvlJsx",1
2020-03-11 22:35:15+00:00,"Mustang, OK",Me headed to class @SNU1899 in the wake of COVID-19... https://t.co/Cm1Mk69gOJ,0
2020-03-11 22:21:59+00:00,"Stillwater, OK",I love how half of Twitter is losing their minds over COVID-19 and the other half is acting like it doesn’t exist,3
2020-03-11 22:05:41+00:00,"Oklahoma City, OK","USA: We need something to stop the COVID-19 

LivePD: Hold our donuts https://t.co/GEvPgaRCL5",3
2020-03-11 21:37:24+00:00,"Oklahoma City, OK",@fifthquarterou @CptSwollhouse Before Covid-19 reached a dangerous level to the majority of the United States.,0
2020-03-11 21:28:43+00:00,"Oklahoma City, OK",UCO Students check your emails! We will be getting an extra week on spring break due to COVID-19 @UCentralMedia @UCOBronchos,4
2020-03-11 21:02:45+00:00,"Oklahoma City, OK","We have updated #COVID19 information at https://t.co/HHHcYayjal with the latest local guidance and links from @okchealth, @HealthyOklahoma and @CDCgov. Keep it and other links you find there handy as the #coronavirus situation develops. Be prepared, not scared. #OKC https://t.co/x1wmccMM1R",15
2020-03-11 20:41:38+00:00,"Gretna, NE","Well, that was probably inevitable, but it still is disappointing. #coronavirus #COVID19 #MarchMadness https://t.co/ejxbbXqlxe",1
2020-03-11 18:27:04+00:00,"McAlester, OK","For anyone concerned about COVID-19 affecting OSSAA events, here is a statement that comes from their website: https://t.co/xH0Cyb1BGE",3
2020-03-11 18:17:58+00:00,"edmond, ok",Am I the only one that thinks that isolating people away from each other parlays influence and power of opinion into the media’s favor? Weird it happens a lot on election years. #COVID19 #coronavirus,0
2020-03-11 18:14:47+00:00,"Norman, OK",AskProfWolff: COVID-19 and the Stock Market the system is destroying itself. https://t.co/EIpLgD5gM5 via @YouTube,0
2020-03-11 17:41:48+00:00,,"🇺🇸Exclusive: https://t.co/toOpCc7Zul WASHINGTON (Reuters) - The White House has ordered federal health officials to treat top-level coronavirus meetings as classified. On top of the fact Trump lies about the situation, but the massive cover-up...#COVID19 #coronavirus #Corona",0
2020-03-11 17:30:05+00:00,,"Tulsa athletics makes statement on COVID-19. All athletic events this week are canceled or postponed. 

This comes a day after the university moved to online classes in response to the coronavirus connected to a sibling of a student. https://t.co/j6seWYVxDr",3
2020-03-11 15:14:22+00:00,edgarfabianfrias.eth,".
.
.
.
#edgarfabianfrias #earth #interconnected #interwoven #witch #ufo #psychedelicart #witchesofinstagram #brujx #queer #gaymemes #instagay #wtf #instamood #affirmations #dankmemes #corona #covid19 #coronavirus #symbiosis #earth #gaia #plantbased #vegansofig https://t.co/QJCsDPxEKa",1
2020-03-11 15:06:53+00:00,"Oklahoma City, OK",Imma tell my kids this is how #coronavirus was started #COVID19 #CoronaTime 😂 https://t.co/j5yQOoI37J,0
2020-03-11 14:18:54+00:00,"Chandler, OK",Breaking news The University of Tulsa has halted all classes and is moving to online courses only because of fears of the #coronavirus Oklahoma and Oklahoma State university's both considering doing the same. #CoronaVirusUpdate #COVID19 https://t.co/Bw7E7MCtAN,4
2020-03-11 13:38:10+00:00,"Tulsa, Oklahoma","From @JonesingToWrite: Second COVID-19 patient in Tulsa County is related to TU student; university cancels on-campus classes, will have online instruction at least through early April https://t.co/kWEKDfl6OY via @tulsaworld",0
2020-03-11 01:22:12+00:00,"Oklahoma City, OK","@KOCOMaggie Nope.  The amount of cases could be as high as 10,000 in the US currently. When local and state labs are 100% up and running they can only check up to 10,000 Covid-19 cases a week. The initial Covid-19 tests provided by the CDC had bad reagents causing the tests to be invalid.",0
2020-03-11 01:09:58+00:00,,"COVID-19 works hard, but Ramona Singer works harder https://t.co/FpcmzFtd2Z",3
2020-03-11 00:46:00+00:00,"Oklahoma City, OK",Mitigation of COVID-19 https://t.co/6zMfRfIjHe,0
2020-03-12 23:19:01+00:00,"Oklahoma, USA","Choose to buy your essential items from the local mart in your community.

Service &amp; Hospitality Industries are taking a direct hit because of COVID 19.  If possible, take advantage of delivery services if you are uncomfortable visiting.

Local Restaurants &amp; Businesses Need Us! https://t.co/Apop1lmu8I",3
2020-03-12 22:58:54+00:00,"Oklahoma City, OK",Who the fuck had RISE OF THE PLANET OF THE APES on their Covid-19 Bingo Card? https://t.co/D7BTwdHjvD,1
2020-03-12 21:31:22+00:00,,@ncaawrestling Is there talk of issuing a Covid-19 Redshirt? Give th kids their year back!,0
2020-03-12 21:12:02+00:00,United States,"@_Ty_Williams1 I’m so very proud of you on and off the court.  Everything happens for a reasons. This COVID-19 closing down tournaments will not stop us from our goals! The sky is the limit.   Stand on His word, and He will guide you exactly where you are to be. #yourRideOrDie",18
2020-03-12 21:05:29+00:00,,@jonfavs @keithejustus Lol! All testing is free &amp; Co-Pays have been waived by all insurance providers (At the request of the president). Government is providing assistance for those affected &amp; care takers of those who test positive for Covid-19. What’s radical is putting abortion $$ into a crisis bill.,0
2020-03-12 21:03:52+00:00,,"Not to be rude or detract, but why am I just now finding out about ANOTHER hot Hanks child?!! #CoronaVirus #COVID19 #CoronavirusPandemic https://t.co/IaQTATGGgx",3
2020-03-12 20:36:29+00:00,"Dallas, TX",. @utahjazz’s @rudygobert27 releases statement after testing positive for #Covid_19 https://t.co/ZeiPWbz6hN,2
2020-03-12 19:35:16+00:00,"Oklahoma City, OK","In our happenings, The Mutts building on 23rd St. is being torn down.

Check out our blog post to see our full rundown of events*: https://t.co/ns9iWG6Iqf

* with the ongoing COVID-19 outbreak, please check with organizations directly to make sure events are still happening.",0
2020-03-12 19:08:14+00:00,"Eastside, Oklahoma City","Per @okcthunder, tests for COVID-19 will be administered for members of the team.",15
2020-03-12 19:01:07+00:00,"Oklahoma, USA","@ScottGottliebMD unless there is understanding of COVID 19 vs H1N1,SARS,and MERS,people will continue to ignore it and misinformation will spread.",0
2020-03-12 18:56:39+00:00,oklahoma,Pandemic....#Covid_19 #CoronavirusPandemic https://t.co/xAn7JkcXos,0
2020-03-12 18:55:31+00:00,Damn Near Nichols Hills,Lost a car payment or two with the cancellation of the high school state tournaments.  Hope they can be rescheduled soon. But it was the right decision.  Should have been announced last night tho. #Covid_19,3
2020-03-12 18:37:02+00:00,Oklahoma City,"No NBA, NHL, March Madness, or any other sports for the foreseeable future. 

#Covid_19 has damaged my heart and soul more than it could ever damage my body",2
2020-03-12 18:12:12+00:00,"Guthrie, OK",When I get Covid-19. https://t.co/zKoksitJR9,0
2020-03-12 17:51:15+00:00,South Florida,"Standing by for a presser with @GovStitt and @HealthyOklahoma on COVID-19. We will stream live!

@koconews https://t.co/gZMoZYsW3w",0
2020-03-12 17:50:54+00:00,Oklahoma City,Media gathering as @GovStitt and officials will provide a coronavirus #COVID19 update at 1 pm. Watch live @TheOklahoman_ https://t.co/bqdnCI19ho,2
2020-03-12 17:48:14+00:00,"Oklahoma City, OK","OSSAA says the interaction between Utah Jazz star Donovan Mitchell, who tested positive for COVID-19, and Del City students Wednesday prompted the postponement.",4
2020-03-12 17:35:07+00:00,"Washington, DC","Here’s @spidadmitchell last night in OKC. He has coronavirus now. Someone in the comments of this video said, “Donavan look like he already knew what’s up. Had that “Ion know bruh...” look lol” 😳😦 #CoronavirusPandemic #Covid_19 #spida #NBAsuspended #coronavirus #COVID19 #Jazz https://t.co/Q9WbUsTNCJ https://t.co/Wk5DF4jZfP",0
2020-03-12 17:33:48+00:00,"Oklahoma, Oklahoma ","If I die, can I blame the @utahjazz ? 

#NBA #CoronavirusPandemic #coronavirus #COVID19 #thursdayvibes",0
2020-03-12 17:09:45+00:00,Oklahoma City,"@theflaminglips should re-release “She Don’t Use Jelly” change Vaseline to Quarantine, and you’ve got the new theme song to 2020 and Covid-19... @waynecoyne #quarantineplaylist #coronavirus",0
2020-03-12 16:08:52+00:00,"Oklahoma City, OK",https://t.co/nHQ0A5B7eb @homeokc @HomelessOKC @martypeercy @jospacebear #okc #Covid_19 #homelessness,0
2020-03-12 15:59:30+00:00,"Norman, OK","POWER 5 Conf’s | No Basketball will be played due to #Covid_19.

The World: https://t.co/o8Zrx3U32h",1
2020-03-12 15:44:48+00:00,probs my bed,If Rudy Gobert gave COVID-19 to Enes I swear I'll throw hands...... https://t.co/LB61i1Iqkc,9
2020-03-12 15:44:29+00:00,March,"Well, we promised this year would be different...

From the office of the commissioner: Due to the ongoing Covid-19 health crisis, the league has determined it will be conducting this year’s tournament without the friends.",0
2020-03-12 15:08:08+00:00,South Florida,"The situation at the Oklahoma State Capitol this morning:

- @GovStitt and @HealthyOklahoma to hold presser at 1:00 on COVID-19

- Speaker to hold media avail this morning (not necessarily virus related)

- Lawmakers hoping to get more info on any COVID-19 plans today

@koconews",11
2020-03-12 14:59:23+00:00,"Dallas, TX","Per @espn, the Jazz player who visited Del City High on Tuesday, Donovan Mitchell, has tested positive for the #coronavirus. #COVID19 https://t.co/YGgPh0PTOV",8
2020-03-12 13:51:04+00:00,"Oklahoma City, OK","BREAKING: OU moving to online classes over COVID-19/coronavirus pandemic. 

https://t.co/4fGmCvMiPj",3
2020-03-12 13:03:52+00:00,"Oklahoma, USA",Joe Castiglione @soonerad joined us from KC last hour on the “T-Row Show” with the latest on this quickly developing story surrounding Covid-19. We will replay that interview shortly on @Sportstalk1400 and the @Sportstalk1400 app.,14
2020-03-12 13:03:17+00:00,"Oklahoma City, OK","I just wanna take a second to send my love out to all of the victims and families effected by the Covid-19❤️
Please take care of yourselves people.
For yourself and those around you.👌🏼",0
2020-03-12 12:57:40+00:00,"Oklahoma City, OK","Tom Hanks may not have qualified for a COVID-19 test in the United States based on his symptoms. 

https://t.co/3DfjasRrcL",0
2020-03-12 12:56:27+00:00,"Oklahoma City, OK",Our response to COVID-19 https://t.co/Kejt7OKpyG,3
2020-03-12 10:19:44+00:00,"Oklahoma City, OK",COVID-19 IN OKC: In a matter of hours OKC became the focus of national attention. @NBA has suspended play of a @utahjazz player tested positive. The team was here in OKC to play the @okcthunder. @CalebCalifanoTV and I are live with what has happened overnight. @NEWS9 https://t.co/F0DeHV8dPU,13
2020-03-12 07:55:54+00:00,"Oklahoma City, OK","Greetings all Members and Families:

I'm sure you are all well aware of the Coronavirus (COVID-19) situation. 

We just wanted to let you all know what we do on a regular basis to keep the facility as safe as… https://t.co/gFUYlnP1YY",1
2020-03-12 04:14:38+00:00,"Moore, OK","“Well.....That Escalated Quickly!"" Ron Burgundy  -  The Coronavirus (COVID-19) came with UTAH JAZZ Center Rudy Gobert to OKC, Chesapeake Arena, to The NBA and the NBA has Made the Decision to Suspend the Season Indefinitely!  #CORONAVIRUS2020 https://t.co/pASx8zzd5r",0
2020-03-12 03:29:50+00:00,"Oklahoma City, OK",.@HealthyOklahoma issued this news release regarding the reported positive #COVID19 test in the #OKC area. “Those who were in attendance at the (@okcthunder) game are not at risk of catching COVID-19.” — Oklahoma State Department of Health https://t.co/CseEoHBatv,110
2020-03-12 03:13:43+00:00,"Oklahoma City, OK",OKC Mayor on unfolding COVID-19 situation unfolding right now. https://t.co/YJh6XQFrEf,1
2020-03-12 02:57:35+00:00,South Florida,"NEW: Oklahoma State Dept. of Health tells attendees of today’s Thunder game that they are “not at risk of catching COVID-19.”

The department says public health officials are testing other players and staff.

@koconews https://t.co/mDmdJQxeeF",36
2020-03-12 02:21:25+00:00,"Oklahoma City, OK","We are about to get the NBA version of this gif
 “You get a corona virus” and “You get a corona virus” 
 #nba #NBATwitter #coronavirus #Covid_19 https://t.co/wmA0OTqtNI",1
2020-03-12 01:58:35+00:00,,"There was NO COVID-19 in #OKC until @rudygobert27 put his clown suit on.... 😡 Thanks to him being “funny,” players are under quarantine and the NBA season suspended. 

We HAVE to take this pandemic seriously, y’all. It’s not a game.",8
2020-03-12 01:50:43+00:00,Oklahoma,Remember like last week when covid-19 was a hoax ¯\_(ツ)_/¯,1
2020-03-12 01:39:06+00:00,"Oklahoma City, Oklahoma",Jazz player Rudy Gobert tested positive for COVID 19. Chesapeake emptied. Thunder players exposed and crowd told to leave. Buckle up!,1
2020-03-12 01:33:59+00:00,"Dallas, TX","#BREAKING: Utah Jazz Player Rudy Gobert tested positive for COVID-19 per @okcthunder. @kfor #coronavirus #COVID19 

We will be outside the Chesapeake Arena at 10 on @kfor",14
2020-03-12 01:32:00+00:00,"Oklahoma City, Oklahoma","Imagine you are in a meeting in France, your return flight is Sunday and you hear the US doors are shutting for 30 days midnight Friday. What an anxiety inducing clamor to get on one of the last flights. We will lose more of these people stuck overseas to stroke than COVID 19.",5
2020-03-12 01:18:27+00:00,"Oklahoma City, OK",#BREAKING: Tom Hanks test positive for #Coronavirus #COVID19 https://t.co/PDrfqeTa5L,2
2020-03-12 01:05:29+00:00,"Oklahoma, USA",@blanks69 Brazilian Communications Secretary Fabio Wajngarten suspected of carrying COVID-19. He was with Trump last weekend at Mar-a-Lago in Florida.,4
2020-03-12 00:28:53+00:00,"Oklahoma, USA",They bring out a *childrens* dance team while the NBA debates on cancelling for covid-19 scares? Lmaaaoooooo,1
2020-03-13 23:24:15+00:00,"Norman, OK",Self quarantining at @ChuckECheese tonight. #healty #selfcare #coronavirus #Covid_19 #petridish #pandemic #pizza,0
2020-03-13 23:10:13+00:00,"Oklahoma City, OK","What's ""nasty"" is Covid19 virus. What's sad is a President who cant answer legitimate questions. https://t.co/6hhkrsucQi",2
2020-03-13 23:02:08+00:00,Chicago ➡️TX ➡️OKC ➡️ FL,JUST IN: Mercy hospitals statewide will begin restricting visitor access starting tomorrow due to COVID-19. Officials say exceptions will be made on a case-by-case basis. Hospital services will not be impacted. ⬇️⤵️ @kfor https://t.co/7YwjiaM6fc,2
2020-03-13 22:56:56+00:00,Oklahoma-based national correspondent,"‘Forsaking the assembly?’: Amid cancellations due to the COVID-19 pandemic, churches urged to ‘settle down, be calm and have a message of hope.’ By @eriktryggestad https://t.co/gByTNracbT",0
2020-03-13 22:28:47+00:00,"Oklahoma City, OK",#toiletpaper #Covid_19 https://t.co/124xw0gheh,1
2020-03-13 20:29:59+00:00,"Moore, OK","Trust me that when the zombies finally rise you can have plenty of time enacting the most selfish of your fight or flight desires but until then, grab a drink, relax, and be a solution not a problem. #panic #pandemic #QuarantineAndChill #Covid_19",0
2020-03-13 20:14:13+00:00,"Moore, OK",I'm sorry. #CoronaVirus #Covid_19 https://t.co/jCq38COzrf,1
2020-03-13 19:36:00+00:00,"Oklahoma City, OK",BREAKING: President Trump officially declares a national emergency over COVID-19/coronavirus,1
2020-03-13 19:10:11+00:00,"Edmond, OK","I just got my #lunch at @UrbanAgrarian in @vault_405 where there was plenty of fresh, healthy foods on the shelves!  With everything going on, if you need to stock up #groceries they are the place!  #COVID19 #CoronavirusPandemic #CoronaVirus #ShopLocal #Edmond #OKC #SmallBiz",13
2020-03-13 18:39:31+00:00,"908 SW 4TH ST OKC, OK","Anthem Brewing COVID 19 Update:

-BEER BONDING ZONE: If you wanna hi-five/handshake/etc, clink a glass instead. It sounds cool, and then BOOM, beer happens. EVERYONE WINS!
- NEW GROWLERS ONLY will filled at this… https://t.co/7HMse4TRSg",4
2020-03-13 18:21:15+00:00,"Oklahoma City, OK",COVID-19 is entering everyone’s body to get them infected then it’ll release the deadly end of it killing us all. https://t.co/n3O4fR5eE9,4
2020-03-13 18:04:13+00:00,"Yukon, OK","Before we all parish to COVID-19, can @NWSPodunk reveal their true identity pleassseee????",1
2020-03-13 17:59:47+00:00,We travel & some ZOOM ,8 miles on dreadmill- made it fun with fartlek training! #Covid_19  washed everything before and after- #FridayMotivation #WashYourHands https://t.co/hMYoEtZnqD,2
2020-03-13 17:26:10+00:00,"Oklahoma City, OK","Book your move today! We have taken measures to keep our team &amp; customers safe in light of the COVID-19 virus. We have enhanced the disinfecting of vehicles &amp; equipment. Employees will be vigilant about frequent handwashing.
https://t.co/9bObCI7SSi https://t.co/0ORxlffW7B",0
2020-03-13 17:21:15+00:00,"Oklahoma City, OK",Interesting note.  The Subway restaurant by my office is no longer making drink lids or straws available.  They were told this by their higher ups &amp; it is to prevent COVID-19 spread.  I 100% get the drink lids.  WHO can go up to stacked drink lids and just get one?,3
2020-03-13 17:11:46+00:00,"Oklahoma City, OK","We were also joined by Taylor Oliver, a Licensed Dietician in Oklahoma and she gives her perspective on the impact of COVID-19.",1
2020-03-13 16:05:00+00:00,"Oklahoma City, OK",My exact mood today working at my office while everyone is gone for being sick or taking care of their kids #Covid_19 #gohome #CoronaOutbreak #sleepytime https://t.co/5tpw0nnxbu,0
2020-03-13 15:57:11+00:00,,Who had Pandemic on Trump bingo card? #Covid_19 #TrumptheWorstPresidentEVER,0
2020-03-13 15:24:44+00:00,"Edmond, OK",Not understanding the run on toilet paper.  If a 90 day supply is needed in ur house you don’t have Covid-19 u have IBS.  U can see ur Dr. now. Explosive bowel movements are not symptoms of the virus.  Leave some TP for your neighbor.  #Covid_19 #coronapocalypse #LeavemesomeTP,1
2020-03-13 15:08:57+00:00,,I’m going to be in the Guinness Book of World Records for most #Warzone played during the #Covid_19   So help me God if the Xbox server goes down...,13
2020-03-13 14:37:47+00:00,"Oklahoma, USA",This is the recommended risk assessment from the CDC!  Ask yourself these questions before you freak out about #COVID-19 https://t.co/Is5qA83Vww,2
2020-03-13 14:11:38+00:00,"Oklahoma City, OK","IT’S A RESPIRATORY VIRUS.

I know a lot of y’all like to talk out of your asses, but you certainly don’t breathe through them. 

Put the toilet paper down. 

#coronavirus #COVID19 https://t.co/NA7vh7wP82",6
2020-03-13 12:49:23+00:00,Oklahoma,"What would you put on your ""covid 19""  playlists??? https://t.co/rdWZzQRLLc",0
2020-03-13 12:27:17+00:00,Oklahoma City.,Every workplace has their own Rudy Gobert going around joking about COVID-19 while touching and coughing on everyone.,1
2020-03-13 11:21:36+00:00,"San Antonio,TX✈Oklahoma City",I listen to the CDC before I listen to the news talk about COVID-19.,0
2020-03-13 11:16:48+00:00,"Oklahoma City, OK","PREPARING FOR COVID-19: @MidwestCityOK is taking precautions. One of the biggest steps the senior center will be closing at end of business today. 

Find out what else the city is doing ⤵️⤵️⤵️ https://t.co/zYUPcuuZEG",3
2020-03-13 06:31:15+00:00,"Riner, VA","This disease is derived from mammals and the COVID-19 virus in particular originated from bats at the live animal market in Huban that set shit off to begin with in China.

Yeah man. You read that correctly. Bats. This virus was inside of bats, and caught by humans. 

Fuck dude.",2
2020-03-13 04:44:35+00:00,"Oklahoma City, OK","Wednesday and Thursday “Jayhawks are #1, there’s no March Madness, and COVID-19 can kiss my ass” wines:  Alta Maria 2013 Rancho Viñedo Pinot Noir - Santa Maria Valley 🇺🇸, 90/100; Stag’s Leap Wine Cellars 2013 Artemis… https://t.co/UdpsMnkq9d",0
2020-03-13 04:25:21+00:00,"Oklahoma, USA",if you’ve swam in Stroud lake.... you’re immune to COVID-19,15
2020-03-13 03:43:54+00:00,"Edmond, OK","@FallonTonight @jimmyfallon 
Way better without the audience! 🤷🏻‍♀️😎😆#FallonTonight #fallontweets #CoronavirusPandemic #coronavirus #COVID19 #JimmyFallon #GoodOleDays https://t.co/IOdCXENAlK",0
2020-03-13 03:37:06+00:00,in a pickle,this covid 19 stuff has my parents grocery SHOPPING.,0
2020-03-13 03:08:29+00:00,"Norman, OK","i can’t believe I’m typing this out so soon - i was not prepared for my journey to end like this. because of COVID-19, we are unable to attend nationals in Daytona. 

thank you to the… https://t.co/KT5chRaTOn",3
2020-03-13 01:27:50+00:00,March,"According to @Friend30Eight, Covid-19 stood a 1-in-99 chance of besting the field prior to today.",0
2020-03-13 00:50:20+00:00,March,"Per @ESPN_FMAA , Covid-19 is the first to knock out every single friend from contention in the history of the tournament.",1
2020-03-13 00:12:19+00:00,"Oklahoma City, OK",Is anyone else having brief moments soaking in routine activities like locking your car or closing the front door like it’s going to be part of your post-apocalyptic flashback sequence as you wander the wasteland in search of gas and toilet paper? Just me? Okay.  Cool. #Covid_19,3
2020-03-13 00:10:52+00:00,My Human's Lap ,"So I called the #Oklahoma State Department of Health’s #CoronavirusHotline today to inquire about #COVID19 testing criteria and costs. 

This is how it went. 

#MedicareForAll #CoronavirusPandemic #coronavirus @NEWS9 @kfor @TheOklahoman_ @okgazette https://t.co/gNIfvAo9Za",2
2020-03-14 22:23:03+00:00,,#coronavirus #COVID19 #Walmart  new hours 6am - 11pm... ?,1
2020-03-14 22:14:30+00:00,USA,"update on Corona virus:  
My heart is with all those who are suffering during the COVID-19 pandemic.  
 
Your safety and health are my priority and I wish to ensure the maximum cleanliness and sanitation of Yoga… https://t.co/263tX1vhpY",0
2020-03-14 21:58:31+00:00,"13230 Pawnee Drive, okc","Polished’s COVID-19 Precaution: ​
​
We urge you to wash your hands with soap upon arrival. 🤚 🧼 
Hand washing station on the left of reception desk. ​
​
😷If you exhibit any of the symptoms of the flu, cold or the… https://t.co/kNSqxp2AtI",0
2020-03-14 21:41:32+00:00,"Oklahoma City, OK","JUST IN: The Oklahoma City Memorial Marathon has been postponed until October 4 because of the public health concern caused by the COVID-19 coronavirus outbreak.

https://t.co/mLzZDoeViQ",0
2020-03-14 21:28:34+00:00,,"Don’t get me wrong Covid-19 is frightening, but what really scares me is if it evolves into BOFA",6
2020-03-14 19:57:43+00:00,Oklahomo,"I have been in bed for 16 hrs
Pls send help
I don’t have COVID-19 lol just depression thx",1
2020-03-14 19:17:16+00:00,"Oklahoma, USA",@GovStitt @davidfholt @SenatorLankford   please be proactive and get out in  front of COVID-19. Cancel church gatherings until we have a better understanding of the current pandemic.,0
2020-03-14 18:56:03+00:00,"Oklahoma City, OK","*gets idea* *searches for espn classic...it was cox channel 255*

*types 255* no channel exists
*scroll to 254, jumps to 256*

Did COVID-19 take out ESPN Classic and no one report on it?!?!",0
2020-03-14 18:13:27+00:00,Oklahoma City,The threat of COVID-19 when you have a chronic illness and already don’t feel amazing all the time is a fun dance of trying to be pragmatic &amp; also not fall into hysteria. Please send gifs and memes &amp; check in on your chronically ill friends &amp; family.,12
2020-03-14 17:51:45+00:00,Chicago ➡️TX ➡️OKC ➡️ FL,JUST IN: @MoorePublicSch officials sent this letter to parents after learning an Earlywine Elementary student may have been exposed to COVID-19 while on vacation last week. The school will now be deep cleaned. ⬇️⤵️ @kfor https://t.co/KNYuGDDVpO,6
2020-03-14 17:40:57+00:00,,2) It has everything to do with stopping spread of COVID-19 and protecting the seniors and those with chronic illness in our country. Protecting those who are weak is a hug part of being a Christian. ❤,2
2020-03-14 16:50:21+00:00,Chicago ➡️TX ➡️OKC ➡️ FL,"JUST IN: OU Medicine has updated its’ visitation policies amid COVID-19, effective immediately. Visitors for hospital &amp; clinic patients are now limited. ⬇️⤵️ @kfor https://t.co/DMUZM4mY4Z",6
2020-03-14 16:12:18+00:00,,Having to be in downtown OKC after they just had a #coronavirus outbreak. 🙃 #COVID19,1
2020-03-14 15:52:44+00:00,,"Thank you, @TomColeOK04 , @RepFrankLucas and @RepKendraHorn for voting yes on the Coronavirus recovery bill. Those funds are necessary to build our medical / support infrastructure in keeping Oklahomans safe. https://t.co/uq6rlmYsBe 

#covid19 #covid #COVID19US",6
2020-03-14 15:35:56+00:00,Damn Near Nichols Hills,It’s getting real now - 7-11 is not allowing you to refill cups of any kind. Have to get a new cup every trip. Cost me an extra .20 every time but I’m down with it #Covid_19,4
2020-03-14 14:17:35+00:00,Oklahoma City,"⚠️ COVID19 ALERT ⚠️

4 Things You Must Not Lose During This Corona Virus Season:

1.) Your common sense
2.) Your sense of humor
3.) Your mind
4.) YOUR TRUST IN GOD!!!",81
2020-03-14 06:01:20+00:00,"Oklahoma City, OK","Covid-19 is the greatest thing to ever happen to introverts because they can see no people ever and it’s actually for the “benefit of society.”

For hybrids like me, it allows me to indulge my deep hatred for people that’s sprung from my work experience in journalism/service.",1
2020-03-14 05:49:07+00:00,"Oklahoma City, OK",@MelLovesOU Can someone tell me what toilet paper has to do with Covid-19?,0
2020-03-14 05:29:37+00:00,"Edmond, Oklahoma ","#covid_19 #lifecheck2020 #coronashenanigans #corona #lifefacts #facts💯 @ Edmond, Oklahoma https://t.co/tSRnkz8kKZ",1
2020-03-14 04:35:19+00:00,"Oklahoma, USA",@SDLegit @RyanNationalist @KarlSmith1098 @GovMikeDeWine It is more contagious and hospitals have enough dealing with flu cases so they need to not overload the health care system with COVID-19,0
2020-03-14 04:04:41+00:00,"Oklahoma, USA",@KatiePavlich It's COVID-19 Katie,0
2020-03-14 02:56:36+00:00,"Oklahoma City, OK","Public health officials have confirmed the first case of #COVID19 in the #OKC metro. Visit https://t.co/HHHcYagIiN for updated #coronavirus links and resources from @okchealth (our local partners), @HealthyOklahoma and @CDCgov. https://t.co/hJXPNzXZ0m",47
