Datetime,Location,Text,Like Count
2020-03-11 23:45:23+00:00,"Seattle, WA","Does the @NHL move towards shortening the season/playing in empty arenas or pausing the season?

#COVID19 #coronavirus #NHLSeattle https://t.co/QAWEmOMwcu",3
2020-03-11 23:40:29+00:00,"Buckley, WA","An empty Cheney Stadium for tonight’s Tacoma Defiance soccer match. It’ll go on without fans, by order of the Governor because of COVID-19 concerns. 6pm on #KOMONews https://t.co/Es0yAUTxj4",17
2020-03-11 23:40:16+00:00,Eugene,There’s just no flu in me but this is Covid-19 https://t.co/nDSPrHC2pX,2
2020-03-11 23:37:21+00:00,,University of Oregon is offering all exams remotely &amp; switching to online classes for the start of spring term due to COVID-19 concerns. That means at least 3 weeks of online classes. No word on when in-person classes would resume #fox12 #oregon #COVID19  #portland #coronavirus https://t.co/vaE4Qf6dAP,10
2020-03-11 23:22:10+00:00,"Gresham, Oregon","MetroEast will be CLOSED to the public effective March 12, 2020 in order to mitigate the propagation of the COVID-19 virus. Stay tuned for further updates as we monitor the situation. Wishing everyone good health!",0
2020-03-11 22:57:26+00:00,"Oregon, USA","@BrandonBeckham_ @TheDemocrats 1/  Brandon, who, and be specific, from the Dems is using the COVID-19 as a ""politicization""?
You may be mistaken. But the Pussy-grabber in Chief is the one who has actually accused Dems of spreading misinformation about the Virus and for spreading the Virus itself.",0
2020-03-11 22:34:20+00:00,Coast Salish Land,"As much as we’d like to keep our people power growing, we understand the risks of COVID-19 on our community. We will be using video-call for upcoming meetings. We will have information on that soon. Read our full COVID-19 response here: https://t.co/tpqUNPUHV6",1
2020-03-11 22:24:30+00:00,"Portland, OR","“They’re probably spreading it all over because they screw everything in sight- they’re like jackrabbits going from hole to hole”
-my aunt patti talking about 2 college football players who tested positive for COVID-19",5
2020-03-11 22:23:20+00:00,"VANCOUVER, WA",Covid-19 got that Covid-19,2
2020-03-11 22:16:58+00:00,"Oregon, USA","@realDonaldTrump Then quit being such a divisive Narcissist.
You blame your Failures and Idiotic orders on others. Being Putin's Man-pussy it is easy for you but remember, you are the Russian Asset in Chief and are the #1 National Security Risk.
Have Scientists and Doctors handle COVID-19.",1
2020-03-11 22:16:08+00:00,"Eugene, Oregon, USA",@ACLU Has the ACLU taken a position or issued a statement on governments ordering mandatory quarantine of person infected or exposed to COVID-19?,0
2020-03-11 21:54:21+00:00,"17520 22nd Ave E, Tacoma, WA","The City of Puyallup has declared a state of emergency regarding the outbreak. This was done to more quickly and easily mobilize staff and supplies needed to respond to the existence of COVID-19 cases in Puyallup, and the reality that more are expected.

https://t.co/uGZgnnMCKv",22
2020-03-11 21:42:39+00:00,"Portland, Oregon",@PhRMA Stop putting this garbage in my timeline. Especially now. The only innovation I want to hear about from you is when you provide free COVID-19 tests to people with no health care.,0
2020-03-11 21:39:53+00:00,OR,@BrewStuds I seem to have missed your point or the connection to covid-19,4
2020-03-11 21:35:56+00:00,"olympia, Wa",Enjoying this @ajfcigars #diasdegloria for after lunch! Fighting the #coronavirus #covid19 one premium cigar at a time!! #brownandsonscigars #pnw #premiumcigars @ Brown and Sons Premium Cigars https://t.co/h06qyXEAvB,0
2020-03-11 21:29:01+00:00,"Oregon, USA","@WhiteHouse @realDonaldTrump How?
Are you jokers going to cut the SNAP program completely or Veterans' pay, SSA?
Since this is a battle to control COVID-19, take it out of the Wall of Shame or DOD Funding (there is an abundance).
Ask Putin's Man-pussy to call his handlers in Russia for the Rubles.",0
2020-03-11 21:26:15+00:00,"Portland, Oregon USA",https://t.co/QHMYENPbeC Read and act on this article. Understanding data and implementing appropriate measures will help slow the spread of #COVID19 #coronavirus and save lives. Science matters.,1
2020-03-11 21:06:50+00:00,"Salem, OR","There should be no elections. COVID-19
All sporting events should be stopped. Travling causes Spreading.
COVID-19
No shopping Allowed. All brick and mortar store creates people contact.
COVID-19
Breathing Air.
COVID-19
Stop Living and wast away.
COVID-19",0
2020-03-11 21:05:29+00:00,"Woodland, WA","Dear Coronavirus, You’re ruining everything! #COVID19",0
2020-03-11 20:56:25+00:00,"17520 22nd Ave E, Tacoma, WA","Wednesday, March 11, Gov. Inslee imposed restrictions on large gatherings in Pierce, King, and Snohomish counties through March 31 to limit spread of COVID-19. 

Please cancel gatherings of 250 or more. Visit Tacoma-Pierce County Health Department at https://t.co/ac1QbEBweP",4
2020-03-11 20:46:29+00:00,"Portland, Oregon","Reed wants to remind its community to take measures to prevent the spread of COVID-19. Visit our FAQ on prevention &amp; response.

https://t.co/ThsBRNPm51",6
2020-03-11 20:21:20+00:00,"Portland, OR","The most infuriating thing about watching Midwesterners/southerners (not many COVID cases yet) mock the coastal cities about their “panic” is that if the coastal/port cities are successful at containing the virus, those same folks are gonna say “see it wasn’t a big deal” 😑",2
2020-03-11 20:14:52+00:00,PNW 🌄,"Me, already working from home since 2015, an introvert not currently attending college, watching the world go on lockdown for COVID-19 while nothing changes in my personal life, with great concern the general public’s health: https://t.co/XxviuhwiVG",5
2020-03-11 20:10:15+00:00,,"Four new cases of Covid-19 now confirmed in Oregon, bringing the total to 19. The cases are considered to be community spread. There’s one new case in Polk, Marion, Umatilla and Deschutes counties. #fox12 #oregon #coronavirus #COVID19",1
2020-03-11 20:09:41+00:00,Vancouver WA USA,@KatiePrejean Lysol cans say that cuz “corona virus = colds”.  The COVID-19 is a mutation of the corona virus which we don’t know if Lysol will kill. Lysol has had that label for years.,2
2020-03-11 19:44:32+00:00,Portland  United States,If you are on keto you can’t get the corona virus #itsacarb #CoronaVirusUpdate #COVID19 #ketodiet #ketosis #yourewelcome,0
2020-03-11 19:29:42+00:00,PDX 🌲 ,"NOT saying covid-19 is good to get or good in any way but imagine this situation- you’re a socially anxious introvert. Residents of your dream city to visit are mostly quarantined, you’ve already had &amp; completely recovered from covid-19 &amp; flights/hotels are DIRT cheap",1
2020-03-11 18:37:55+00:00,,COVID-19 hadn’t personally affected me until today. We need to find a cure right away. https://t.co/7uUJv02ohP,6
2020-03-11 18:36:52+00:00,"Gresham, OR","From what I’ve read and heard (this may be wrong) it’s people with weakened immune systems (elderly, young children, people with diseases, etc.)I’m not worried about me getting COVID-19, I’m just worried that if I do get it I’ll spread it to someone who can’t survive it. https://t.co/l03XvRLZnr",0
2020-03-11 18:35:40+00:00,"Oregon, USA","@leesa_fl @Adorable_Todd Both are prime Covid-19 candidates, as well as President Trump! 3 Old White guys....not a lot of choice!
We need multiple Political Parties in the USA!",0
2020-03-11 18:15:49+00:00,,"I’m so sick of these bandwagon corona virus fans. The bat community has been bumping that shit since the 60’s, multiple strains/mutations and nobody cares until ONE human gets ahold of it and bam, it’s a global hit. #2019nCoV #COVID19 #coronavirus #fake",3
2020-03-11 17:11:03+00:00,"Oregon, USA","WHO (world health organization) has declared COVID-19 a pandemic (definition: prevalent over a whole country or world). As a breast cancer patient and asthmatic, it scares me a lot. So, please adhere to the following  ... https://t.co/GbjnWcHqBd",1
