Datetime,Location,Text,Like Count
2020-03-11 23:30:45+00:00,"Bowman, SC",Dude coughed. Everyone nearby started laughing. #COVID19 #coronavirus,0
2020-03-11 22:00:33+00:00,🌴32°0’18” N 80°58’52”W ⛲️,#covid_19 #coronavirus🦠 #dontpanic #ignoretrump #washhands #donttouchface #covermouthwhencoughing #usecommonsense 😷🤧🤒 https://t.co/OYRlhRal1G,0
2020-03-11 21:52:40+00:00,"South Carolina, USA",I know it’s #MarchMadness but could you imagine if fans were not allowed to college football games bc of the #COVID19 #CoronaVirus. I think the south might rise up and start another civil war.,2
2020-03-11 21:51:27+00:00,"Surfside Beach, SC",@dawgwholifts The COVID-19 proactive measures lately are about as oddly proactive as someone who stockpiles on toilet to combat the flu 🤔,0
2020-03-11 21:39:33+00:00,"Surfside Beach, SC",The COVID-19 proactive measures taken lately are about as oddly proactive as someone who stockpiles on toilet and buys $30 hand sanitizers online. #COVID19,0
2020-03-11 21:19:44+00:00,South Carolina,"@realDonaldTrump Stop lying that this is #FakeNews, stand up like a man and tell us the #Truth #POTUS45!!! Act like a real #president! #KAG #KAG2020 #coronavirus #COVID19 https://t.co/VK14kQjytE",0
2020-03-11 20:22:32+00:00,"South Carolina, USA","S.o. to @UofSC for actually caring for their students during this #COVID19 #Coronavirus epidemic. Not only are they doing the lectures online, but also allowing students to stay in the dorms and keeping the cafe open. A university that cares!!! #universityofsouthcarolina #UofSc",0
2020-03-11 20:14:17+00:00,"Greenwood,SC","@deptulahasrage here's a good interview/explanation of what to expect from covid-19.
https://t.co/oszuEL3Cg8",0
2020-03-11 19:42:33+00:00,"Dallas, TX","JUST IN:

Due to concerns with COVID-19, the GEICO Nationals have been moved to Dorman High School.

“ our goal of making the location change is to provide a safe environment for the health of student athletes coaches and fans.”

Geico Executive Director, Rashid Ghazi",29
2020-03-11 17:28:01+00:00,"Columbia, SC","@Gamecock1998 @warlick14 @livelydiveley @GamecockWBB There are vaccines and treatment for the Flu; there are not for Covid-19. The Flu pandemic of 1918 killed 675,000 Americans when we had less than half the current population.",0
2020-03-11 17:11:37+00:00,"Charleston, SC, USA","Let’s put the #pandemic status in perspective. Just as all #politics are local, so is the concern for you and your community during an #virusoutbreak. It still doesn’t change what you are doing to keep yourself from getting #COVID19. #coronavirus #CoronaVirusUpdate",0
2020-03-11 16:07:41+00:00,"Charlotte, NC","@realDonaldTrump COVID-19 will obliterate them, and you will lie about it. And we have enough crap jobs and enough people working several jobs. Unless they are living wage jobs, they shouldn’t count towards employment numbers.",0
2020-03-11 15:25:21+00:00,"Columbia, SC","#UofSC has updated their site, officially canceling classes for next week. Read more on the COVID-19 virus here:

https://t.co/aJYsbcPiQf",135
2020-03-11 06:40:14+00:00,"Columbia, SC",We understand the gravity of the situation for all those in South Carolina and the world for that matter. The COVID-19 outbreak could last for a very long time. Public Health officials recommended community actions designed to limit exposure.@SteveBenjaminSC @RCSD @BBCColumbia https://t.co/NYyHgag41D,2
2020-03-11 04:18:52+00:00,,"Teen was at @SCMusEd all-state chorus Thurs-Sat; came home feverish and fluish Sat night. Went to MD Monday morning where she was treated like she had plague. Treating it like flu, but they really don’t know. Flu? Other virus? #COVID19? No tears available to know for sure.
{PJ}",0
2020-03-11 02:34:51+00:00,"Columbia, SC","Says a source familiar with the announcement. 

For additional information on COVID-19 keep up to date by checking the University’s landing page: https://t.co/aJYsbd6THN",20
2020-03-11 02:34:50+00:00,"Columbia, SC","To help mitigate the spread of COVID-19 #UofSC is expected to announce tomorrow morning an extension of spring break by one week with no class being held until March 23.

Residence halls, campus dining, and some transit will remain open and operational.",619
2020-03-12 22:07:34+00:00,Winston-Salem,How are local restaurants like Charleston Crab House on James Island being impacted by #Covid_19?  Find out tonight on @ABCNews4 @ 11. https://t.co/L6QaXRlDQN,0
2020-03-12 21:36:12+00:00,"Louisiana, USA","#Repost @reduxartcenter
For those of you planning to stop by to see Spectral Marauding by Luminous Lookout before our show closes:
・・・
COVID-19 Update from Redux:.⁠
.⁠
We are staying on top of the news as COVID-19… https://t.co/5yNkyVxPOr",0
2020-03-12 20:25:42+00:00,,"For days my inbox has been nothing but Coronavirus updates, advice, and event cancellations .... all except this one from @SpiritAirlines who says it’s never been a better time to fly. 😐  #COVID19 #COVID19US https://t.co/FVMAE4vwOK",0
2020-03-12 15:07:43+00:00,"South Carolina, USA",Why is everyone talking about covid-19 can we please not talk about Kpop at a time like this,2
