Datetime,Location,Text,Like Count
2020-03-11 19:07:40+00:00,"Sioux Falls, SD",I’m helping. You’re welcome. #WashYourHands #MMMBop #Covid19 #CoronaVirus @hansonmusic https://t.co/q0yQBlqsUl,1
2020-03-11 14:45:11+00:00,"Chicago, IL ✶ ✶ ✶ ✶",Inside a South Dakota medical center on the frontline of Coronavirus with more than 500 cameras across the U.S. https://t.co/kd8Wdy5BzU #CoronaVirusUpdate #COVID19 #COVID #coronavirus,1
2020-03-11 10:15:14+00:00,"Sioux Falls, SD","3/11/20, 5:09am, my apt...nothing new except that I read that the covid-19 virus here in South Dakota went from no victims to 5 in the last 24 hours.  And a death.  That’s sad.  Sorry for victims.",0
2020-03-11 00:50:29+00:00,"Sioux Falls, SD","Hey @argusleader.  I am a digital subscriber because I value good, local reporting and investigating.  I’m willing to pay money for that. 

I also feel information about COVID-19 shouldn’t be behind a paywall.  It would be great if everyone had access as a public service.",1
2020-03-13 21:16:43+00:00,"429 West 69th Street Sioux Falls, SD 57108","We care about the health &amp; wellness of our patients. If you like, we're happy to reschedule your upcoming appts. Be sure to follow reliable resources for accurate info about COVID-19 here&gt; https://t.co/ApdnNNt7gW",0
2020-03-13 20:13:03+00:00,"Sioux Falls, SD","SPGA Students and Parents,

please check your email for the most updated information on the SPGA COVID-19 Action Plan. 

Thank you for support and please keep a close eye on email and social media for updates. https://t.co/rtWaGq13LM",5
2020-03-13 19:33:22+00:00,"Sioux Falls, SD",Breaking: @POTUS declares national emergency amid COVID-19 outbreak,2
2020-03-13 19:24:41+00:00,"Sioux Falls, SD","Dr. Wendell Hoffman talks with @KELOPerry about the symptoms of COVID-19, the origins of the virus and why social distancing is so important. Watch the interview this Sunday night on #InsideKELOLAND. https://t.co/faVvxozORX",1
2020-03-13 18:16:02+00:00,"Sioux Falls, SD","Update (Friday 9:45 a.m.)

Due to COVID-19 ALL EVENTS THIS WEEKEND AT THE SHRINE HAVE BEEN CANCELLED. 

#covid_19 @ El Riad Shrine https://t.co/C3eMg0U8Wf",0
2020-03-13 15:44:39+00:00,"Nonya Biznus, USA","@AOC @LiamMcBaen See my pinned tweet, Congresswoman! We have to be the safety net our government refuses to be. #Covid_19",3
2020-03-13 15:40:30+00:00,"Nonya Biznus, USA","Please retweet and if you want to add other #Resistance family, come on in. #Covid_19 https://t.co/LvvLuhzrs9",5
2020-03-13 15:38:53+00:00,"Rochester, MN",So im pretty sure my order from postmates was denied due to the COVID-19 last night. Thankfully I got a full refund but still 😂,0
2020-03-13 05:35:20+00:00,"Sioux Falls, SD",So when is @realDonaldTrump gonna start throwing out toilet paper?  #Covid_19 https://t.co/FYOuWgwYAL,8
2020-03-13 03:23:52+00:00,"Sioux Falls, SD",all of these old ass retirees sharing on facebook that they are not afraid of COVID-19 ...... we get it...you are already housebound and you have literally nothing else to lose. i have a social life &amp; a trendy closet to maintain. pretend to care.,24
2020-03-14 15:36:12+00:00,"Sioux Falls, SD",Important information from Dr. Jennifer Hsu of @SanfordHealth via @JackieHendrySD The Role of Social Distancing in Preventing COVID-19's Spread https://t.co/OEXqNc46pS,9
2020-03-14 02:41:50+00:00,2 Corinthians 5:17; Psalm 95:1,"Well it was this or dinosaur pasta for dinner next week 😂😂 It was all Walmart had in the ENTIRE AISLE 🤷 #Coronavirus you cray ✌ #Covid19 @ Sioux Falls, South Dakota https://t.co/Gj2XASeoD8",0
2020-03-15 14:53:21+00:00,,@manker81 @wemonaco Unless COVID 20 takes over for 19 and no sports at all,0
2020-03-15 14:15:29+00:00,"Sioux Falls, SD",south dakota closed their schools with only 9 cases yet new york and washington students still go to school with 500+ cases and about 25+ deaths due to covid-19 #CloseTheSchoolsNow,0
2020-03-15 13:07:12+00:00,"Sioux Falls, SD","Best read in the Covid 19 Pandemic I've read so far. Worth your time to read!

I Lived Through SARS and Reported on Ebola. These Are the Questions We Should Be Asking About Coronavirus. — ProPublica
#MSNBC #COVIDー19
https://t.co/42zYnqZjBM",0
2020-03-15 08:46:13+00:00,"Sioux Falls, SD","Why, because he lies bout everything.....White House Doctor Claims Trump Tested Negative for COVID-19 But We Have No Reason to Believe Him
#COVIDー19
https://t.co/QGyw6gsbiU",0
2020-03-16 15:37:06+00:00,"Sioux Falls, SD","Good MONDAY morning! 😃On behalf of our team, we would like to update you on our Health Protocol for the COVID - 19 Precautions.⚠️

We have hung the sign pictured below on our door so you can see it before you walk… https://t.co/gNCOm0dcTg",0
2020-03-17 23:39:27+00:00,𝙩𝙝𝙚𝙮/𝙩𝙝𝙚𝙢 • 19,"I Survived
COVID-19, 2020 https://t.co/zhXNTFiz30",3
2020-03-17 22:49:27+00:00,"Sioux Falls, SD","After a Brief Burst of Sanity, Trump Is Back to Abnormal on the Coronavirus Response
#COVID19
https://t.co/rGH1skSxcg",0
2020-03-17 20:09:34+00:00,"Sioux Falls, SD","Noem: total COVID-19 cases in SD is 11. ""We're continuing to be proactive and diligent.""",0
2020-03-17 20:07:28+00:00,6891 A St 104 Lincoln NE 68510,"New Comics! COVID-19! 2-Go!

Get all your new comic books every Wednesday at Rainbow Comics at 10:00 a.m.! https://t.co/CSerln80dy

#ComicBooks #NewComicBookDay #NCBD #DCComics #MarvelComics #ImageComics #RainbowComics #RevealYourHero",2
2020-03-17 17:18:22+00:00,"Sioux Falls, SD","2020 El Riad Shrine Circuses Postponed

Due to the outbreak of Covid-19, the Sioux Falls and some surrounding area circuses were forced to postpone

Read our press release here: https://t.co/EIwmIA9osZ @ El Riad… https://t.co/KLpGqvV0zi",3
