Datetime,Location,Text,Like Count
2020-03-11 23:54:48+00:00,"Arlington, VA","Who said “Good leaders surround themselves w/ people who are smarter than themselves”? I feel blessed to have met some really smart people like Dr. William Schaffner, a @VUMChealth ID Expert @VUHealthPol @IDSAFoundation #IDTwitter #PublicHealth #coronavirus #COVID19 https://t.co/xktBergLc6",15
2020-03-11 23:51:07+00:00,East Nashville TN / Buffalo NY,This is from the World Health Organization. This is who you should listen to. #coronavirus #covid19 https://t.co/kndKtQQDXL,0
2020-03-11 23:06:45+00:00,"Nashville, TN","@CynthiaCoy8 @UnRapporteur @MizQue @pinewoodsdojo @SusanneCallanan @1extremelady2 @IdahoRoadapple @Beleafer1 @Sisie39909822 @john_godish @rothwel @vps_1410 @kimmybeaa @Catlady628 @MarilynT4 @RhymesRadical @DocAtCDI @RebeccaJeanWil2 @Gary_ARSC @lisalbarjas1 @LifeOnTheBeach7 @tess_tess2 @AfterAlanAsher @ph00ligan @donald_j_putin @matbo2 @StevePPhill @BatNat007 @POTUS44 @realDonaldTrump @chipfranklin While labeling undocumented immigrants “illegals” unintentionally implies that they are illegal people, your point is an important one that is being overlooked: fearful of ICE, even documented immigrants are likely to postpone seeking medical care for COVID-19.",3
2020-03-11 22:49:21+00:00,"Nashville, TN","It all seriousness can we at least hear(see videos,ect) from people that have had this virus? The news being offered is so limited that it’s crazy #COVID19 #CoronaVirusUpdate",0
2020-03-11 22:21:21+00:00,Nashville,"I saw this man cure a COVID-19-like virus with a bag of elderberries and some dampened dirty rags. If you know, you know. https://t.co/ImBSEzOry7",49
2020-03-11 22:05:02+00:00,Over 65 locations in TN/AR/AL,"The Tennessee Department of Health has confirmed cases of the Novel Coronavirus (COVID-19) in Tennessee, and it is also cold and flu season. At STAR Physical Therapy, your health is our top priority. We have… https://t.co/PQMg3oQD3y",3
2020-03-11 21:21:00+00:00,"Brentwood, TN",Remember when we were all racist or crazy to ask for quarantine of those who had been exposed to Ebola?  It only had a 90% fatality rate. Versus the 1% (factor mild cases not discovered) of COVID-19,0
2020-03-11 21:18:38+00:00,,"If only 1% of the #MEMPHIS @Aroundthe901 population needs hospitalization we will need 13,500 beds, but we have fewer than 4000. We are in trouble. #COVID19 #coronavirus @MayorMemphis @MayorLeeHarris",1
2020-03-11 21:13:37+00:00,,We need to self-quarantine now. Big and not-so-big gatherings will cost lives #COVID #Coronavid19 #Covid_19,1
2020-03-11 20:43:36+00:00,"Macon, GA","@prinfrazier is traveling back from a study visit @NashHub this evening so the Charger Connection will be delivered tomorrow.  Please be sure to ask your children to review the letter sent home today about Covid-19.  Also seniors, @CFCGA scholarship deadline is Friday. https://t.co/aOLYzBQvoD",2
2020-03-11 20:23:59+00:00,,"@MauryCoSchools @CulleokaUnit @cjmarczak @MarvinWrightEle @MtPleasantWO @BGCMaury @JE_WoodardEle Why is Maury County not concerned of the stomach bug, strep throat, flu, COVID-19, and the bad colds and dirty classrooms going around like candy?",2
2020-03-11 20:20:11+00:00,"Lebanon, TN","covid-19 is bad, but the ID10T virus 🦠 is spreading like wildfire!",2
2020-03-11 20:19:51+00:00,Nashville,"“It is incumbent upon us, as elected officials, to lead by example and act responsibly at this time."" #health #COVID19 #coronavirus https://t.co/erMzHIsygR",15
2020-03-11 20:11:08+00:00,"Nashville, TN","Music teachers, check out this awesome offer by @Sight_Reading Factory for schools closed due to COVID-19 concerns! #TNStateoftheArts #TNfinearts https://t.co/ob97c1VEjl",12
2020-03-11 18:51:17+00:00,"Nashville, TN","Cancellations update: Nearly 120 groups have cancelled Nashville events, meetings and conventions due to #COVID19. The @NashvilleCVB estimates that’s a direct spending loss of $32.53 million, roughly $5 million in state and local tax revenue. @nc5 #coronavirus https://t.co/2pARcwolbI",1
2020-03-11 18:40:54+00:00,"374 Hicks Road, Nashville, TN",COVID-19 Response as a Faith Community  https://t.co/Kpz1KxWnGP,1
2020-03-11 18:29:21+00:00,215 Nation. TCU. Vandy Law.,The Sixers medical staff is also in charge of the US response to the spread of COVID-19 https://t.co/t1sTGzXCJH,1
2020-03-11 18:26:34+00:00,"Nashville, TN","this
tHiS 
THIS  
T H I S
THISSSSSSS
 #coronavirus #WednesdayWisdom #CoronavirusOutbreak #COVID19 #immunocompromised #adrenalinsufficency #autoimmunedisease https://t.co/e6wR1LXknB",1
2020-03-11 18:02:30+00:00,"Nashville, TN","BREAKING: Nashville-Davidson County is reporting a second diagnosed case of COVID-19. “The presumptive case is an adult male, has had mild symptoms, and remains isolated at home.  Health Department officials are investigating the source of exposure.” @nc5",2
2020-03-11 17:58:20+00:00,Back in St. Olaf...,Do you think you will end up getting COVID-19?,0
2020-03-11 17:26:26+00:00,"Nashville, TN",I’m a firm believer in not panicking. But our government seems to think COVID-19 is a PR problem. It isn’t. And in Otsly they are already rationing care. https://t.co/XIpxrerezr,2
2020-03-11 17:26:18+00:00,Boise,What does the @WHO say about hanging out at the #DMV ? It’s a great idea right? This Real ID better be amazing. #coronavirus #COVID19 https://t.co/LwaG9cmJSd,6
2020-03-11 16:43:49+00:00,ALL UP IN YOUR TIMELINE via TN,"My @FinalFour tickets came!! 🤗 #NCAA 

Thank You!! @PRIMESPORT  😁

Hoping there is no cancellations due to the #coronavirus #COVID19 🤞🏾 https://t.co/SBW37MoQVV",0
2020-03-11 16:10:30+00:00,"French Lick, IN",COVID 19.... more like COVID 247.....#sheesh,0
2020-03-11 09:15:46+00:00,"Nashville, TN USA",#COVID19 #coronavirus #WaffleHouse https://t.co/ejWEzkl9Eb,1
2020-03-11 04:31:09+00:00,"Nashville, TN","Have y’all seen this? 🙃
#COVID19 #coronavirus #CoronaVirusUpdate https://t.co/b9IypEhdLR",6
2020-03-11 04:02:05+00:00,215 Nation. TCU. Vandy Law.,"Very disappointed that I won’t be in class with @arjunsethi81 this weekend at @vanderbiltlaw! Was really looking forward to another short course touching on the most pressing issues facing our society today, but COVID-19 had other plans.",5
2020-03-11 03:20:01+00:00,"Nashville, TN",mad respect for @seattletimes for removing the paywall for all COVID-19 related articles. Especially as someone whose family all lives in the Greater Seattle Area while I’m across the country in Nashville.,0
2020-03-11 03:00:06+00:00,"Nashville, TN","Even if COVID-19 is unavoidable, delaying infections can flatten the peak number of illnesses to within hospital capacity and significantly reduce deaths. https://t.co/QyWGv1zyP3",1
2020-03-11 01:04:52+00:00,"Nashville, TN",Has someone hid Betty White? This COVID-19 ain’t taking our main bitch. Get her is a Hazmat suite in the desert somewhere. #bettywhite #savebetty #COVID19 #coronavirus #nottodaysatan,6
2020-03-11 00:51:07+00:00,"Nashville, Tennessee","@ChrisCuomo I know it will take 12 to 18 months to develop a covid-19 vaccine, but where are we in that timeline? Month one? Month four?",0
