Datetime,Location,Text,Like Count
2020-03-11 18:26:12+00:00,"Plattsburgh, NY",SUNY system will go to distance-based learning for rest of semester due to COVID-19,1
2020-03-11 16:56:29+00:00,"Kingston, NY","COVID-19, a virus that the WHO has just recently declared a global pandemic, will ravage the US because of our disastrous healthcare system.

While this pandemic spreads, the DNC has decided to prop up Joe Biden who does not want a Medicare for all system.

Welcome to 2020.",0
2020-03-11 12:36:23+00:00,us-east-1,@QualityNinja this was more about systemic failure of insurance coinciding with a later in the bell curve covid-19 related death,1
2020-03-11 03:29:56+00:00,"Marlborough, MA",Should we panic over the #coronavirus? No. But I think an overreaction is better for public safety than an underreaction. Willing to bet I'm not alone on that. #COVID19,2
2020-03-11 00:06:22+00:00,path of greatness ,@ManrielGrant My mans got the COVID-19 and don’t know how to act lmao 😭,0
2020-03-12 23:29:52+00:00,"Burlington, VT","Makin an executive decision to not go anywhere other than my apartment or to get essentials while COVID-19 is active in VT

I’m not going to risk spreading/contracting er than necessary

I want to be able to sleep knowing that if anyone dies in my community, it wasn’t cause of me",2
2020-03-12 20:30:38+00:00,,"By the time this pandemic has passed, I'm going to have so many stored up hugs there's gonna be a hugpocolypse. Get ready. 
#Covid_19 #CoronavirusPandemic #ireallymisshumancontact",0
2020-03-12 20:07:50+00:00,"Vermont, USA","Attention MMUUSD Communities:
Please see this letter for an important update regarding COVID-19. https://t.co/cd1JwxZaXQ",1
2020-03-12 20:07:24+00:00,,"The Trump campaign responds to @BernieSanders’ #Covid_19 plan:

“He’s just another Democrat candidate for president trying to score political points by recklessly provoking anxiety and fear.” https://t.co/nxGGRgvyVm",20
2020-03-12 19:19:28+00:00,,"During #Covid_19 address, @BernieSanders says that medical residents &amp; retired medical professionals should be activated to treat influx patients. 

Calls for members of gig econ to qualify for unemployment; moratorium on evictions; emergency construction of homeless shelters. https://t.co/Hl3lXVLKkD",1294
2020-03-12 04:31:42+00:00,"Marlborough, MA","@DocMD17 I'm under the assumption that across-the-board cancellations are forthcoming. Gotta slow the spread before #Covid_19 turns into a real nightmare. Better to overreact than underreact. But yeah, it's obviously everywhere.",1
2020-03-12 01:40:03+00:00,"Marlborough, MA",The @NBA has suspended its season to help prevent the spread of #coronavirus #COVID19,0
2020-03-13 23:01:43+00:00,"Burlington, VT","This. 

I really hope that @VTCORRECTIONS is looking at their population to figure out who can be released immediately. 

Also hope they are leaving people in the community despite possible ROMs or technical violations. #Covid_19 

Also though: let’s just do this all the time. ⚖️ https://t.co/dQnaYrcPGX",64
2020-03-13 21:49:53+00:00,"Burlington, VT","People will say “Ohhh China this, China that” when it comes to COVID-19, but they got their shit together. 

If this becomes a bigger pandemic than it already is, I think history books will say America was to blame",2
2020-03-13 21:41:10+00:00,"52 Institute Rd, Burlington VT","BREAKING: Governor Phil Scott declares a state of emergency in Vermont due to COVID-19 concerns. Mitigation practices, including changes in hospital visitation and out of state travel policies, will be in effect until April 15. Scott is not mandating the closing of K-12 schools.",11
2020-03-13 13:27:46+00:00,"Vermont, USA","@JohnsHopkinsSPH thank you for hosting the Admitted Students Day online today, despite #Covid_19. I am excited to start the program in June 2020! #powerofpublichealth",0
2020-03-13 01:13:11+00:00,,"@attyatscience @AbeGoldfarb Shouldn't it be ""constant sexting kills COVID-19""???",0
2020-03-14 13:00:59+00:00,"So. Burlington, VT",Not gonna specifically mention any “institutions” or “facilities” but some have realized just how much money will be saved by closing under the guise of “safety first” 😉 #coronavirus #COVID19,1
2020-03-15 22:31:08+00:00,"So. Burlington, VT",If you have 50 rolls of TP in your household? You’re a selfish clown. #COVID19 #coronavirus,4
2020-03-15 15:50:51+00:00,"Brooklyn, NY","As an admission professional, I’m proud to see the institution I work for (@saintmichaels) on this list! Hoping to see my alma mater (@MarquetteU) added. 🤞🏻 this alleviates some stress on admitted students, their families, &amp; school counselors with the current COVID-19 prevention! https://t.co/7csabxkpR5",3
2020-03-16 22:05:00+00:00,"Winston-Salem, NC",#BREAKING: Clinton County has its first confirmed case of COVID-19. The county health department says the person is receiving medical care &amp; that it’s working to identify those who may have come in contact with them @MyNBC5 https://t.co/Gu7cC2KKoK,2
2020-03-16 21:51:57+00:00,"So. Burlington, VT",🦁 Tiger Woods has tested positive for #COVID19 and now the virus has been quarantined for 14 days. #coronavirus #tigerwoods #PGATour #PGA,0
2020-03-16 19:09:08+00:00,"Montpelier, VT",Subscribe to receive business related updates on COVID-19 from the Agency of Commerce and Community Development. https://t.co/xOb4DAeHf5 https://t.co/C3DlQHCTo4,1
2020-03-16 14:29:25+00:00,"Burlington, VT","This is the craziest part. After COVID-19 is (in theory) handled we have a good chance to fall into a recession that could be unprecedented. 

No one in America is prepared for a recession AFTER a pandemic like this. https://t.co/S5ZFGBpFGI",1
