Datetime,Location,Text,Like Count
2020-03-11 22:35:02+00:00,"Virginia Beach, VA",@badger420_honey @realcalvinn @realDonaldTrump False. Flu death rate is 0.1%. COVID-19 is 1%.,2
2020-03-11 21:32:43+00:00,,The best thing about social distancing?  My evening commute will be much more enjoyable. #COVID19 #coronavirus,3
2020-03-11 21:15:41+00:00,"Virginia, USA",COVID-19 is a fucking joke,1
2020-03-11 20:52:11+00:00,"Hampton, VA","Waiting on @ODU, @HamptonCSchools and others to announce their closure plans for #coronavirus #COVID19.",0
2020-03-11 20:19:58+00:00,Virginia State University,"#VSU Emergency Management Team is proactively responding to the Coronavirus (COVID-19). The Auxiliary &amp; Drumline Tryouts scheduled for Sat, March 14th have been cancelled. 
Explosion Day is still scheduled for April 25th. Please follow our social media platforms for updates.",2
2020-03-11 16:30:21+00:00,"Virginia, USA",Seriously. Why is this so hard?  #coronavirus #covid_19 https://t.co/tc7yC8t7KF,2
2020-03-11 15:41:59+00:00,"Hampton, VA","@ItaliaRail good morning. I received an email yesterday about getting a refund for tickets I purchased due to COVID-19, but when I attempt to respond to the email, I get an undelivered notification back. Could you please assist me?",0
2020-03-11 13:51:06+00:00,"Chicago, IL",Friend of mine heard some talk in the locker room about how covid19 started in Wu-Tang China.  C.R.E.A.M. Covid rules everything around me.  #WuTang #wutangisfordakids #Covid_19 #coronavirus,1
2020-03-11 13:15:19+00:00,"Virginia Beach, VA",NEWS24 UPDATE- #coronavirus #MichaelMoore #ByeByeBernie #CoronaVirusUpdate #BidenLosesToTrump #TheBachelorFinale #COVID19 #COVID #SocialDistancing #NeverBiden #TheBachelor #BreakingNews #BREAKING #Trump2020 #SandersWithdraws2020 #CoronaVirusSeattle https://t.co/6mz73snv1P,0
2020-03-12 23:52:41+00:00,"Virginia Beach, VA","Yes, it’s @corona Light Night here @CROCSVaBeach Thursdays!
Our TEAM &amp; Customers Come First!
We’ve implemented every  measure &amp; precaution possible to create an environment for our guests that’s safe &amp; healthy as possible to address #COVID19
Thanks for loyal support &amp; patronage! https://t.co/szwVDmxrpI",8
2020-03-12 23:51:34+00:00,United States,And share THIS too #CoronaOutbreak #CoronavirusPandemic #Covid_19 #coronavirus https://t.co/pNOsOiNzVz,0
2020-03-12 23:51:00+00:00,United States,"Share this post IMMEDIATELY 
#CoronaVirusUpdate #CoronavirusPandemic #Covid_19 #coronavirus https://t.co/t42yvJxmNf",0
2020-03-12 23:04:07+00:00,"Colorado Springs, CO","#Covid_19... I am so mad at you. I had to cancel my Tennessee trip. I can’t spend the weekend to see my parents, my bff/old roommate, former boss/friend/@ashleyjessie marry her best friend @HVAPrincipal... You have ruined everything 😢 https://t.co/QfvIOdbPA3",12
2020-03-12 22:49:41+00:00,"Youngstown, OH",#COVD19 #Covid_19 #CoronavirusPandemic #DrMario https://t.co/AKHmuHSSTt,0
2020-03-12 20:57:23+00:00,,I interview developmentally delayed individuals and their caregivers. Many of whom live in congregate settings among folks who don’t prioritize hand washing. I need to meet them as part of protocol. I’m getting pretty nervous. #Covid_19,0
2020-03-12 16:45:44+00:00,"Norfolk, VA",'Our elderly population is quite fragile': Leaders raise concerns about COVID-19 and seniors https://t.co/n7ieJYxqDo,1
2020-03-12 16:11:27+00:00,"Virginia, USA",HEHEHEHEHEHEHE I HAVE MORE TIME TO STUDY FOR MY PRACTICAL BECAUSE MY COLLEGE CLOSED BECAUSE OF COVID-19. :3 yessssssssss,0
2020-03-12 13:11:15+00:00,"Virginia Beach, VA",NEWS24 UPDATE- #coronavirus #Covid_19 #CoronavirusPandemic #CoronaOutbreak #CoronaVirusUpdate #COVIDー19 #TrumptheWorstPresidentEVER #TrumpAddress #TravelBan #Travel #PresidentialAddress #VirusCorona #TomHanks #pandemia #EuropeTravelBan #BREAKING https://t.co/8V4jLrrtWv,1
2020-03-12 12:03:49+00:00,YankeeUniverse,@GolicAndWingo it would be great if media refers to it as COVID19  over standard Corona Virus,0
2020-03-12 02:16:37+00:00,,Your 2020 NBA Champion... Covid-19,0
2020-03-12 01:21:17+00:00,"Chesapeake, VA","Tom Hanks has COVID-19, so there’s that.",1
