Datetime,Location,Text,Like Count
2020-03-11 23:57:28+00:00,Muscogee-Creek Territory,"To be sure, COVID-19 is having a major impact on all markets right now. That really wasn’t the point.",0
2020-03-11 23:46:20+00:00,"Alabama, USA",I don't feel comfortable going back to campus when I have friends and colleagues I KNOW have been to cities and states where COVID-19 is present... I wish we'd just move to an online format or something #Tuskegee_RYS20,31
2020-03-11 23:22:31+00:00,"Columbia, MO","Covid 19 aside, how the hell are you this evening?  

Share some news, please...",10
2020-03-11 23:06:34+00:00,"Birmingham, AL",Coronavirus: WHO classifies COVID-19 as a pandemic #Coronavirus https://t.co/FifR8vM8kV,0
2020-03-11 21:34:09+00:00,"West Palm Beach, FL","The good news is if you’ve ever had a drink there, you’re probably immune to COVID-19 anyway!",2
2020-03-11 21:00:08+00:00,"Alabama, USA",Is it strange that Alabama hasn't had anyone test positive for #coronavirus #COVID19 Most people I know here think it's a hoax. Cut on the damn TV and do research you damn rednecks.,3
2020-03-11 20:44:17+00:00,"Mobile, AL","I’m not agreeing or disagreeing with the NCAA’s decision to not allow fans at tournament games... 

I will say that I feel HORRIBLE for the businesses (especially small ones) that will feel the significant impacts from this. #coronavirus #COVID19",28
2020-03-11 20:39:45+00:00,,Dear COVID-19 I know you already canceled Coachella but if you come even close to canceling @faster_horses so help me god I will throw hands,9
2020-03-11 20:36:25+00:00,"Tampa, FL",No fans at March Madness because of #coronavirus #COVID19 https://t.co/9ZZsqwB1N4,0
2020-03-11 20:31:31+00:00,"Birmingham, AL",The ignorance of people regarding Covid 19 and viruses in general is seriously disturbing,2
2020-03-11 20:26:37+00:00,Birmingham ,"🎶COVID
COVID
COVID-19
I’m begging y’all *please* go wash your hands🎶",12
2020-03-11 19:53:01+00:00,"Birmingham, Alabama, USA","This thread. 👇🏻 We have a friend here in Birmingham with similar symptoms, and they also told her at the ER she didn’t meet the criteria #coronavirus  #COVID19 https://t.co/N9lrZBlwlF",0
2020-03-11 18:42:06+00:00,"Tuscaloosa, AL",If you stand in the middle of a busy sidewalk talking to a group of friends you are highly susceptible to COVID-19 I don’t make the rules,2
2020-03-11 18:10:59+00:00,"Birmingham, AL","PSA. If you have flulike symptoms it's a great time to binge some Netflix this week.  😅  Be smart about it. #coronavirus #COVID19 
#covid19al #coronavirusalabama @WBHM https://t.co/f2yDFIYY1z",4
2020-03-11 17:35:25+00:00,,gop politicians are being so blatantly racist calling covid19 the “chinese virus”,12
2020-03-11 17:17:45+00:00,"Starkville, MS","CORONAVIRUS UPDATE: Starkville Pride is closely monitoring the situation with the MS Department of Health with regard to COVID-19. So far, no red flags have been raised so we hope to provide you with updates as time goes on! #starkvillepride #lgbtq #pride https://t.co/6aiqFUlQll",3
2020-03-11 16:55:21+00:00,Pimp’s Hideout,"People buying toilet paper 🧻 as a “fix” to a respiratory virus 🦠 further proves that there are, in fact, A LOTTA people that Do. Not. Know. the difference b/w their elbows &amp; a$$holes...🤦🏼‍♂️ #COVID19 #coronavirus",5
2020-03-11 16:38:14+00:00,North Alabama,@Publix is always such a pleasant shopping experience. We had no problems buying what we needed. Clorox wipes were BOGO. We got TP. No issues. I live in a small town in a state with no reported cases of COVID-19. I’m sure that makes a difference but I love shopping at Publix!,1
2020-03-11 15:43:24+00:00,,"with all due respect, it’s gonna take a hell of a lot more than COVID-19 to keep me off the rooftop at tootsie’s tomorrow night",240
2020-03-11 15:26:14+00:00,"Birmingham, Alabama, USA",Worth reading! / COVID-19: Why I’m Very Concerned https://t.co/AxhnbA02e2,5
2020-03-12 22:19:43+00:00,"Mountain Brook, AL","You choose the media you consume. Be mindful and aware of the information and sources you share.

You choose to act upon the information you receive through the internet, print, social media, etc. 

“The media” isn’t making COVID-19 worse. Journalists are simply doing their job.",28
2020-03-12 22:12:35+00:00,"Connecticut, USA",I’m out here in Alabama for the the NCAA championship. After me and my relay team AUTOMATICALLY qualified for the National Meet. #6 IN THE NATION CURRENTLY and COVID-19 just got my first National Championship meet… https://t.co/65zzqF0YPX,2
2020-03-12 22:11:44+00:00,"Vestavia Hills, AL","@ScottButtram Under Barack Obama H1N1 Virus  2009-2010
U.S. Cases 60.8 Million
U.S. deaths 22,469
No panic, media and public remained calm.

@realDonaldTrump COVID-19
U.S. Cases 1,300
U.S. Deaths 38/23 in one nursing facility (All Vulnerable)
The media is causing MASS HYSTERIA &amp; PANIC !!!!!",1
2020-03-12 21:11:55+00:00,"Birmingham, AL","A Birmingham company said it has received FDA clearance to begin testing for the COVID-19 coronavirus, with results that will be available within four hours. https://t.co/IOra3nh84l",0
2020-03-12 20:04:10+00:00,"Vestavia Hills, AL","@jkittkat @cpacman2 @TidePride8 @tcoley1
Under Barack Obama H1N1 Virus  2009-2010
U.S. Cases 60.8 Million
U.S. deaths 22,469
No panic, media and public remained calm.

@realDonaldTrump COVID-19
U.S. Cases 1,300
U.S. Deaths 38(All Vulnerable)
The media is causing MASS HYSTERIA!!!",1
2020-03-12 17:57:27+00:00,"Birmingham, AL","""The EU disapproves of the fact that the U.S. decision to impose a travel ban was taken unilaterally and without consultation,"" the heads of the European Union said Thursday
#COVID19 #CoronavirusPandemic #coronavirus 
https://t.co/wAZvUgozLm",1
2020-03-12 17:35:42+00:00,"Birmingham, AL","Selling a fake ""treatment"" for the COVID-19 disease violates state and federal law.

https://t.co/qzlirzk2AJ.",0
2020-03-12 15:54:52+00:00,"Alabama, USA",SEC cancels the Men’s basketball tournament because of Covid-19 concerns.,1
2020-03-12 14:59:49+00:00,Somewhere round here,Donovan Mitchell got the coronavirus. Well there goes the theory that black folks can’t get it 😪. #COVID19 #coronavirus,0
2020-03-12 04:18:48+00:00,"Birmingham, Ala.","Cute dog swinging on swing. This tweet is not about COVID-19 at all, seriously. Enjoy. https://t.co/N222cLhJyi",3
2020-03-12 04:01:40+00:00,"Birmingham, AL","In light of recent findings regarding COVID-19, please do not touch, cough on or lick @THEBobGurr or Rolly Crump.  

&lt;end of transmission&gt;",4
