Datetime,Location,Text,Like Count
2020-03-11 23:43:14+00:00,"Anchorage, AK","The definition of ""critical infrastructure"" is TESTING FOR THE Covid-19 virus during a PANDEMIC. You are rapidly becoming useless. Why arent you worried and food insecurity and public health costs covered for the uninsured. GET WITH THE PROGRAM @lisamurkowski https://t.co/VjqGpxOKvB",1
2020-03-11 23:31:12+00:00,"Anchorage, AK",Our community partner Sleeping Lady Drummers has cancelled the Thursday evening drumming group at The Arc until further notice due to current public health concerns with COVID-19 (coronavirus). Thank you for your understanding. #coronavirus #alaska #respect,1
2020-03-11 20:11:47+00:00,"33.3914° N, 89.2847° W 🦋⚖️🏹","NIH LATE APPLICATION POLICY Due to Public Health Emergency for United States for 2019 Novel Coronavirus (COVID-19): Notice Number: NOT-OD-20-082
https://t.co/vGM2a4ZUEn",0
2020-03-11 20:11:07+00:00,"33.3914° N, 89.2847° W 🦋⚖️🏹","General Frequently Asked Questions (FAQs) - Proposal Submission and Award Management Related to COVID-19: Notice Number: NOT-OD-20-083
https://t.co/NkOZTZE5z0",0
2020-03-11 20:08:04+00:00,"33.3914° N, 89.2847° W 🦋⚖️🏹",Coronavirus Disease 2019 (COVID-19) https://t.co/tJ4O2Nqqw7 https://t.co/Vd89ZOtBYO,0
2020-03-11 19:22:18+00:00,"33.3914° N, 89.2847° W 🦋⚖️🏹","Coronavirus disease (COVID-19) outbreak
https://t.co/ce7pWXlIbn https://t.co/ptILK7D9aM",0
2020-03-11 16:48:47+00:00,"Anchorage, AK",@Scaramucci @realDonaldTrump That lack of response by @realDonaldTrump is why COVID-19 is spreading.,2
2020-03-11 05:53:34+00:00,"Anchorage, AK",👑Corona Queens👑When you still gotta have fun and someone has a hot glue gun!! #infectionpreventionposse #IPsrock #COVID19 #Corona #coronavirus #IPstakeovertwitter https://t.co/FlUJtU9DCl,6
2020-03-11 05:02:40+00:00,"Alaska, USA","I get people stocking up on wet wipes and sanitizer. All this shortage on toilet paper? This shit is literally getting outta hand. COVID-19 has nothing to do with the paranoia of not being able to wipe your ass. Save some shit paper for the rest of us who have to work, assholes",1
2020-03-12 23:24:23+00:00,"Anchorage, Alaska","@tmqdev Hi there. President Johnsen has just released information regarding the university system’s response to the COVID-19 situation. Chancellor Sandeen also sent out a communication to the UAA community, and you can view it here: https://t.co/PS2mjXYocZ",0
2020-03-12 23:06:02+00:00,"Anchorage, Alaska","Hey, Seawolves. Please take a moment to watch UAA Chancellor @CathySandeen’s newest video on the @UA_System’s response to the COVID-19 situation. It includes major changes to university operations. https://t.co/m8XwlUCdM8",4
2020-03-12 23:02:27+00:00,"Hayward, CA","Seawolves, you have probably seen President Johnsen's update on the @UA_System response to the COVID-19 situation. Please take a few minutes to watch this video.

Remember, we're Seawolves, and we're stronger together.

Watch with closed captions: https://t.co/HiN9Zcd6L3 https://t.co/O8uMM0mf8O",18
2020-03-12 18:58:46+00:00,Dena'ina Ełnena,"It’s also not correct to call it THE coronavirus. 

COVID-19 is the disease caused by a new coronavirus. https://t.co/X4weoUSxZn",0
2020-03-12 12:24:38+00:00,"Anchorage, AK","Joining the fray - still no confirmed cases at time fo tweet - tired but ready #COVID19 #coronavirus #IPsrock #infectionpreventionposse #infectionprevention #IPstakeovertwitter #WHO #cdctravelnotice #CDCgov 
https://t.co/a11zOUrYGo",2
2020-03-12 11:12:17+00:00,"Anchorage, AK",@B52Malmet Happy COVID-19,1
2020-03-12 00:45:26+00:00,Of this world,Mary Rydesky holds a travel association COVID-19 discussion with Alaska businesses to #BreakTheChain of transmission. @TransitionMgt https://t.co/qrDJcQuqId,1
2020-03-12 00:33:21+00:00,"Hayward, CA","Seawolves, be sure to check out these posters all around campus. They provide updated knowledge and advice about COVID-19 for the UAA community. https://t.co/iSV2Ckuvf8",23
2020-03-13 22:14:22+00:00,"Anchorage, AK",@lisamurkowski Has Trump signed the Bill passed by the House RE: COVID-19 relief measures? Or is he still insisting on Corporate bailouts?,1
2020-03-13 22:10:59+00:00,"Anchorage, AK","@lisamurkowski Let’s get this straight:
Trump gutted the CDC Pandemic Response Team in 2018;
Denies any responsibility for the Lagging U.S. response;
Had Direct Contact with 2 individuals who’ve tested Positive for COVID-19;
Refuses testing;
Is shaking HANDS with public
Refusing Self-Quarantine",24
2020-03-13 20:54:22+00:00,"Anchorage, AK","Let’s get this straight, America:
Trump has had Direct Contact with two individuals who’ve tested Positive for COVID-19 ~
And he’s shaking HANDS ~
And Refusing to Self Quarantine. https://t.co/FKQbyHTebR",0
2020-03-13 20:39:33+00:00,"33.3914° N, 89.2847° W 🦋⚖️🏹","General Frequently Asked Questions (FAQs) - Proposal Submission and Award Management Related to COVID-19: Notice Number: NOT-OD-20-083
https://t.co/NkOZTZE5z0",0
2020-03-13 19:55:47+00:00,"Anchorage, AK","@StephenKing Kushner is not old, in years anyway. One coughing covid 19 could wipe out the whole bunch.",0
2020-03-13 19:24:48+00:00,"Waslla, AK","Called my dad to see how he was doing, and if he was preparing for covid-19. I was surprised he’s done all the things he needed to do. Extra meds procured, has plenty of groceries, and washing hands.",12
2020-03-13 15:24:50+00:00,"Anchorage, AK",@tribelaw Mr. Trump knew of the COVID-19 threat in January and inhibited testing to keep numbers low in the U.S.,0
2020-03-13 09:16:49+00:00,"Anchorage, AK","#coronavirus 
#COVID19 https://t.co/AjEgPDkmcT",1
2020-03-13 08:59:13+00:00,The Last Frontier,"AK is in freak out mode since @GovDunleavy announced AK’s first confirmed case of COVID-19
But tbh, with as many cargo flights that come to and from Asia at @ANCairport , I’m surprised it took even this long.
Just wish the hysterics would simmer down.",0
2020-03-13 08:01:56+00:00,,Amidst the #Covid_19 #CoronavirusPandemic I still would like to take a shit in peace. Thank you. https://t.co/7Dg0p55AVp,2
2020-03-13 05:58:51+00:00,,Ang akong newsfeed sa fb no puro related sa COVID-19.. masking layo na kaayo akong scroll naa japon kapoy na mag fb lol,0
