Datetime,Location,Text,Like Count
2020-03-11 23:10:50+00:00,"Little Rock, AR","My single hot take today is buy a #bidet. Your butt will be nice in clean during the #ToiletPaperApocalypse. Also, wiping with #toiletpaper is gross! #CoronaVirusUpdate #Coronavirus #COVID19",1
2020-03-11 22:38:40+00:00,"Rogers, Arkansas","Hand sanitizer has replaced Holy Water at St. Paul's Episcopal Church in Fayetteville as a measure to help prevent the spread of COVID-19.

#coronavirus #COVID19 https://t.co/Q7YLyBpNVu",7
2020-03-11 22:28:14+00:00,"Arkansas, USA","COVID-19 Symptoms https://t.co/prGJGzfRh0
 from @WebMD",0
2020-03-11 21:44:45+00:00,Earth,#update #Coronavirus: #WHO classifies #COVID19 as a pandemic #CoronavirusOutbreak https://t.co/3tH1yXwSLD,0
2020-03-11 21:33:20+00:00,"PG County, MD ✈️ DFW ","The latest details on COVID-19 and the person who @ADHPIO officials say  tested positive for the virus. 

Health officials say the state is likely to see more cases and that Arkansans should be aware &amp; concerned, and also take precautions like washing your hands. https://t.co/nH9MnRLRBK",4
2020-03-11 20:50:25+00:00,"Tulsa, OK","“Come on, Eileen,” but instead of “Come on, Eileen,” it’s “COVID-19.”",5
2020-03-11 20:16:32+00:00,,"I’m trying to wrap my mind around the multiple spaces and processes impacted by COVID-19. So much is happening so fast in Higher Education. Are institutions being pro-active, reactive, or over zealous in actions is yet to be determined. I have so many follow up questions.",0
2020-03-11 20:12:09+00:00,,PRESSER from @ADHPIO : #coronavirus and #COVID19 “we need to be vigilant - but also live our lives..” ~Dr Nate Smith,0
2020-03-11 20:10:08+00:00,,PRESSER from @ADHPIO : #coronavirus and #COVID19  “I think it’ll likely there will be more cases of #COVID19” ~Dr Nate Smith,1
2020-03-11 20:07:15+00:00,,"PRESSER from @ADHPIO : #coronavirus and #COVID19 How to protect yourself? Hand washing, hand sanitizing, try not to touch your face, avoid handshakes. It is a highly contagious virus",1
2020-03-11 20:06:12+00:00,,"PRESSER from @ADHPIO : #coronavirus and #COVID19 symptoms appear in an infected individual 5 days after exposure. Symptoms overlap with the flu, with severe respiratory symptoms being at the top of the list.",1
2020-03-11 20:01:45+00:00,"PG County, MD ✈️ DFW ","“Arkansans should be concerned and aware about COVID-19,” Dr. Nate Smith, Secretary of Health, Arkansas Department of Health said. https://t.co/wrWdmZI5oS",1
2020-03-11 19:50:14+00:00,,Dr. Nate Smith: “we think the individual was exposed through out of state travel” @ADHPIO #COVID19 #coronavirus #arkansas,1
2020-03-11 19:47:18+00:00,,Dr. Smith: The decision to test this patient for #COVID19 was based on symptoms after the patient was admitted #coronavirus #Arkansas,3
2020-03-11 19:42:45+00:00,,Advice from @ADHPIO re: spring break: “people need to be willing to be flexible” #COVID19 #coronavirus,0
2020-03-11 19:42:11+00:00,"Arkansas, USA","All the baby groups I’m in on Facebook everyone is freaking out about COVID-19 but reallt the main concern I think pregnant women should be worrying about is Zika virus, especially if you live in a warm, constant wet area where mosquitoes are more likely to be but that’s just me",1
2020-03-11 19:36:04+00:00,,"Dr. Smith: “This is not unexpected,” on the first presumptive case of #COVID19 #coronavirus",1
2020-03-11 19:03:16+00:00,"Monticello, AR",Southeast Arkansas College closed after three students exposed to presumptive COVID-19 patient https://t.co/LX1gQUVkIZ via @THV11,0
2020-03-11 18:21:44+00:00,"Memphis, TN","COVID-19 Current status in Shelby County 
#lol #meme #dontbesoserious #convid19 #virus @ Memphis, Tennessee https://t.co/lMcCjJGXDi",0
2020-03-11 18:10:49+00:00,Arkansas,@DucksUnlimited will DUX be affected by COVID-19?,0
2020-03-11 16:21:02+00:00,"Dallas, TX","JUST IN: Arkansas announces its first presumptive case of the #coronavirus #NWArk #COVID19 

https://t.co/e0mdWrKi0m",2
2020-03-11 05:01:40+00:00,"Florida, USA","Arkansas right now is one of the few states with no active Covid-19 cases. But, because testing is so limited, we’re very much fumbling in the dark. https://t.co/Y4OepH3wSd",6
2020-03-11 03:08:07+00:00,"Arkansas, USA","#Lawschool: Dont freak out, but if Covid-19 gets bad, we’ll have to finish the semester online.

Us: Wait, y’all thought the idea of finishing the semester on the couch drunk in bathrobes not getting called on was finna scare us? *Laughs in millennial &amp; pushes play on Barbri*",10
2020-03-11 00:49:21+00:00,Arkansas,"The higher curb is any worse-case spread. Covid-19 can be mitigated, so wash those hands.",0
2020-03-12 23:22:19+00:00,"Jonesboro, AR","Spring Football Game Update

“Due to concerns surrounding the spread of the coronavirus (COVID-19), our 2020 Spring Game has been canceled.” https://t.co/0NGYyibXzp",30
2020-03-12 23:17:29+00:00,"Little Rock, AR",Add Reba McEntire to the list of country artists delaying their 2020 tours due to the coronavirus (COVID-19) pandemic. The country icon announced that she is shifting her headline tour to the summer in light of the situation.,0
2020-03-12 22:48:07+00:00,"Arkansas, USA","It’s #MindBoggling that no matter what he says or does, certain media &amp; Dems, primarily the leaders, nitpick it to shreds! The #POTUS has handled it very well! #CoronavirusPandemic #CoronaVirusUpdate #Covid_19 @realDonaldTrump @VP",0
2020-03-12 22:06:54+00:00,Northwest Arkansas ,"Tom Petty - Free Fallin' https://t.co/xvGF7i146z via @YouTube #goggleup from fallin’ airborne #Covid_19 prevent spread from unprotected wet surface of eyes 🦠easily stick to. Barriers up, force fields up #jedi #wizardsunite 🥽🥽🥽🥽🥽🙏👁👽",0
2020-03-12 21:54:41+00:00,,@KendallRogers The COVID-19 Invitational?,0
2020-03-12 21:53:59+00:00,Arkansas,Everybody is stockpiling toilet paper and water.... and I’m over here filling my cart with coffee creamer. @indelight #CoronavirusPandemic #Covid_19 #priorities,8
2020-03-12 20:52:28+00:00,"Arkansas, USA","Let me see how today is going...

NBA CANCELLED
MLB SUSPENDED
SEC BB CANCELLED
NCAA BB CANCELLED
NO FANS ALLOWED AT PGA
NURSE at CHILDRENS HOSPITAL DIAGNOSED WITH COVID-19

TORNADO WATCH JUST ISSUED FOR WHERE I LIVE

How about you guys?",143
2020-03-12 20:46:55+00:00,"Sherwood, AR",Covid_19 and a tornado watch? Arkansas is lit y’all!,7
2020-03-12 20:46:25+00:00,"Arkansas, USA","#CoronavirusPandemic #Covid_19 #CoronaVirusUpdate #COVD19 #thursdaymorning #toiletpaper #CoronaOutbreak #lockdown #Corona #SocialDistancing #getdatbag
#dorealmerch
#yofavoritebabydaddy
#branding
#clothingbrand
#moneydontmakeme
#imakethatmoney
#arkansas
#littlerock
#tilthisday https://t.co/HdJu5XDPL7",0
2020-03-12 20:27:34+00:00,"Fayetteville, AR","Breaking: @NCAA has canceled Division I men’s and women’s 2020 basketball tournaments, and all remaining winter and spring championships, based on the evolving COVID-19 public health threat.",0
2020-03-12 20:23:20+00:00,"Fayetteville, AR","Breaking from @SEC: “Based on latest developments and continued spread of coronavirus (COVID-19), Southeastern Conference today announced suspension of regular season competition for teams in all sports on SEC campuses, as well SEC championship events, until March 30.",0
2020-03-12 20:15:54+00:00,"Benton, AR",#corona #coronavirus #covid_19 #covid19 #pandemic https://t.co/baHZsdGSOx,2
2020-03-12 20:09:11+00:00,"Fayetteville, AR","*Coronavirus or COVID-19, not “Wuhan Virus” Senator Cotton https://t.co/rwV7nWgKu1",3
2020-03-12 19:48:24+00:00,"Fayetteville, AR","#BREAKING: @UArkansas moves classes completely online through the rest of the semester amid #Covid_19 concerns. 
#NWAnews",23
2020-03-12 19:47:07+00:00,"Arkansas, USA","Any #LGBTQ+ students at @UArkansas who may be heading home to toxic/unsupportive environments, or who may have to stay on campus, my DMs are open 🏳️‍🌈❤ #Covid_19 #uark",16
2020-03-12 19:22:36+00:00,,"@jjackson1967 @ghbledsoe Not everyone needs a test! Call your personal healthcare provider if you have a fever greater than 100.4F, cough or shortness of breath, flu-like or pneumonia-like symptoms, and have had contact with someone tested positive for COVID-19. Not everyone needs a test!",0
2020-03-12 19:18:53+00:00,,"AR governor just “advised” all schools in Pulaski, Jefferson, Grant and Saline counties to close. 6 presumptive cases in those 4 counties... #bettersafethansorry #CoronavirusPandemic #noschooltomorrow #Covid_19",0
2020-03-12 18:57:49+00:00,Little Rock,"Governor @AsaforAR says there are 5 more Coronavirus cases in AR in addition to the first presumptive case in Pine Bluff. COVID19 reported in Saline, Jefferson, Grant and Pulaski Counties. https://t.co/JICcKVz27j",4
2020-03-12 18:54:07+00:00,"PG County, MD ✈️ DFW ","#BREAKING @AsaHutchinson announced the state has 5 more presumptive positive COVID-19 cases, which makes 6 total in Arkansas.

They are in Saline, Jefferson, Pulaski and Grant counties.",1
2020-03-12 18:53:27+00:00,"Daytona Beach, FL","Now 6 “presumptive positives” for covid-19 in Arkansas, per @AsaHutchinson",0
2020-03-12 18:49:51+00:00,"Little Rock, AR",LRSD schools will be closing due to growing concerns about COVID-19. Schools will be closed starting Friday March 13th-Friday March 27th. Read the letter for additional information. https://t.co/y5d8EwOZGd,2
2020-03-12 18:38:42+00:00,"Sherwood, AR",I’m developing a dry cough.... is this the end? #Covid_19,3
2020-03-12 18:37:52+00:00,"Arkansas, USA",Governor Hutchinson addresses Arkansas COVID-19 response. https://t.co/UNT1iKc9U6,0
2020-03-12 18:26:56+00:00,Northwest Arkansas ,"Census came today. Completed trip to Lowe’s.  Protective eye shields to give #Covid_19 the cold eye #goggleup $8. Wouldn’t the party store have em in bulk? This is not 3D.  Love, yo mommas nurse🤓 https://t.co/N9VpjGku83",0
2020-03-12 18:03:14+00:00,,"Question @WHO @CDCgov 

For Covid-19 should I wash my hands before I pull up my pants in the bathroom? 
That way I don’t get it on the pants that I will touch later? 
Or still pull up before exiting the stall? 

Please advise!",1
2020-03-12 17:36:59+00:00,Northwest Arkansas ,Yes! #goggleup against invasion of alien vector in section #airborne. Give #Covid_19 the cold eye —protected so wet landings are blocked from invading stealth occult dark side confoundables /* https://t.co/fU9y80Mwa3,0
2020-03-12 16:58:27+00:00,"Springdale, AR","Event suspensions and cancelations coming in today...

#coronavirus #COVID19 https://t.co/CdotYmbPbZ",2
2020-03-12 16:25:47+00:00,dreaming,"there is 5 cases of COVID-19 in Frisco, Texas and we still have to go to school next week? yeah they only care about the money &amp; not the students🤣.",15
2020-03-12 16:12:03+00:00,,"COVID-19 (Coronavirus) update: Of USA population 328,000,000: 1247 cases (.000004 of population) 38 deaths. 28% of cases and 79% of deaths in State of Washington. Wherever you are be cautious!",0
2020-03-12 15:52:33+00:00,"Clinton, Arkansas",Thank you #Covid_19 https://t.co/j41GcU8jYA,0
2020-03-12 14:01:15+00:00,"Little Rock, AR",How is it that it was only just over a month ago that corrupt GOP senators refused to do their Constitutional duty and remove Trump from office? How many lives would have been saved if they’d voted for removal then instead of leaving President Incompetent in charge? #Covid_19,3
2020-03-12 13:45:06+00:00,"Little Rock, AR","I keep thinking of the Gaia theory. That humans have been harming the planet to such a degree that the earth fights back by coming up with a way to drastically lower the number of humans. I know it’s not how the science works, but I keep thinking about it. #Covid_19",2
2020-03-12 13:41:07+00:00,"Little Rock, AR",This is a great educational tool and illustration of how Covid-19 spreads—and is stopped. #covid_19 https://t.co/yIpBVETkhc,0
2020-03-12 13:29:27+00:00,"Little Rock, AR",#UniteLR—Tune in to @Power92Jams Broadway Joe Morning Show.  I will discuss the @CityLittleRock’s COVID-19 Task Force proactive planning of action.,9
2020-03-12 12:54:00+00:00,"Arkansas, USA","Please read this, and then cancel your spring break plans.  #Covid_19 https://t.co/2DFkRcWOuV",13
2020-03-12 05:31:18+00:00,"Dallas, TX","Coronavirus concerns are causing events around Northwest Arkansas to be postponed or even canceled. #CoronavirusPandemic #covid19 

https://t.co/1mxjoCRXP6 https://t.co/nUA6Bk4HEZ",2
2020-03-12 04:14:55+00:00,"PG County, MD ✈️ DFW ","There’s still a lot of unanswered questions tonight about #Arkansas’s first #COVID 19 case and what’s next. 

But here’s the latest details, for more on tips to stay safe and #CoronavirusOutbreak coverage log onto our website: https://t.co/3Jf2hI4i02 https://t.co/z06xbGProw",4
2020-03-12 04:06:00+00:00,Northwest Arkansas ,"Y’all #goggleup due to vector in airborne transmission and WET eye surfaces are Prime targets foR #Covid_19 INVASION. LISTEN UP JEDI #GOGGLEUP and Wash up, too",1
2020-03-12 03:33:05+00:00,"Little Rock, AR","20 wins and still playing! With major injury to already small team, @RazorbackMBB has surpassed my expectations for this year. Excited to see how far they can go in @SEC empty, fanless tourney! #wps #ItJustMeansMore #Covid_19",1
2020-03-12 03:19:15+00:00,"Arkansas, USA",the only thing I've googled re: covid-19 was to find out if my dog is at risk,2
2020-03-12 02:53:10+00:00,"Little Rock, AR","After @CityLittleRock leadership announced our COVID-19 Task Force on Tuesday, Chairman of the Task Force Dr. Dean Kumpuris, At-large City Director, set the Task Force’s first meeting for Friday at 1pm. The public can watch via https://t.co/BBJQzXRWN7 and our Facebook page.",17
2020-03-12 02:51:48+00:00,,@Courtney_Elain_ How many people have died so far with Covid 19?,1
2020-03-12 02:12:43+00:00,,"to whom it may concern,

please, for the love of god, keep Ruth Bader Ginsburg out of sight and out of mind as COVID-19 takes over the world. if you feel you can’t adequately protect her, blink twice and i’ll come to the rescue. we must protect her at all cost😩 #coronavirus",4
2020-03-12 02:01:36+00:00,"PG County, MD ✈️ DFW ",#COMINGUP: I’ll have the latest on COVID-19 and what health officials had to say about the state’s first person to test positive for the virus. https://t.co/tELpW6hlGz,8
2020-03-12 01:57:18+00:00,"Little Rock, AR","@CityLittleRock leadership remains in constant contact with our city’s public health, healthcare and emergency management professionals as #Covid_19 evolves.  In the meantime, to evaluate whether or not you potentially have #COVID19. Please visit https://t.co/YSheynbeYy",6
