Datetime,Location,Text,Like Count
2022-03-01 22:52:59+00:00,"Chicago, IL","Here’s How Long You Should Wait To Get A Vaccine/Booster After Being Sick From COVID-19
https://t.co/CV8Wh6qqaR

How soon can I get a vaccine/booster after COVID-19 infection? https://t.co/dD9ZcADbly via @YouTube https://t.co/J5GzTld8bB",0
2022-03-01 20:09:42+00:00,"Chicago, IL","Great share from @drdenwalker!

Precautionary Principle/Skeptic's Perspective:
""Based on the science, there is reason to be hopeful that supplements such as vitamin C or D, zinc, or melatonin might help in the fight against COVID-19.""

https://t.co/zdtwYiCdWw https://t.co/T6nKTXKJtu",2
2022-03-01 17:17:26+00:00,"Chicago, IL","@Jstanthrnobdy @IResearch10 @somecowboysfan @JackTors11245 @Dorry_Segev ""The COVID-19 Pandemic is the result of a deattenuating SARS-like Live-Attenuated Vaccine (LAV), and neither vaccines nor natural immunity is going to stop it."" -@Harvard2H has known this for years

NPIs are urgently needed to help us at this point.

https://t.co/c7Gpr6wWp2",18
2022-03-02 21:25:45+00:00,"Chicago, IL","Covid-19 Updates: Face coverings are not required for patrons. While not required in most settings, we strongly recommend that individuals continue to wear face coverings if they are unvaccinated or immunocompromised, or if they are interacting w/people that are unvaccinated. 1/3 https://t.co/dGwNLLkWli",4
2022-03-03 23:42:04+00:00,"Oak Park, Illinois","The #OakPark Department of Public Health is reporting 103 residents tested positive for COVID-19 in the past week, a slight increase over previous week. This translates to a rate of 189 cases per 100,000 residents. Find this week's COVID-19 bulletin at https://t.co/zoe349LRbC https://t.co/6FBRJgiiHT",0
2022-03-03 14:10:35+00:00,"Chicago, IL","""... age-standardized data show that Hispanic, Black, &amp; AIAN people are about twice as likely to die from COVID-19 as their White counterparts &amp; that Hispanic &amp; AIAN people are at one and a half times greater risk of COVID-19 infection than White people.""
https://t.co/IDoDSnJaQH.",1
2022-03-03 13:55:56+00:00,"Chicago, IL","""... more than 1,500 people are still dying daily of COVID-19, one of several reminders that the virus remains perilous and unpredictable.""

#SARSCoV2 remains perilous &amp; unpredictable b/c our ""experts"" refuse to acknowledge primarily airborne transmission.
https://t.co/kaP7zgjtXN",1
2022-03-03 01:23:50+00:00,"Chicago, IL","😳 #COVID19 is not over
#cognitive #decline
""People with long-COVID “brain fog” may be able to recover mental abilities that were dulled or stolen from them by the virus..."" https://t.co/9YyggCjAmT https://t.co/nYvE1gUGTx",1
2022-03-04 15:52:22+00:00,,"@MississippiRob4 I didn't mind it, though I disagree v. strongly with your claim that there was no evidence about the virus. 

There is plenty of empirical evidence. Maybe not as many casualties due to Covid in your neck of the woods, but plenty across the country and around the world.",0
2022-03-04 11:07:06+00:00,"Chicago, IL","In normalcy, The People, can focus on your Corruptions and National Security Threats. ALL assets seize to pay down #USA debt to increase creditworthiness &amp; encourage investment.
* * *
US Senate Passes Bill to End COVID-19 National Emergency https://t.co/ITYDXy0lwZ via @epochtimes",0
