Datetime,Location,Text,Like Count
2020-03-11 22:17:49+00:00,,"@Vollmerine check out this hot take. Covid-19 doesn’t exist because idk, no one from Duck Dynasty is sick yet? https://t.co/6CFU0fQbUi",1
2020-03-13 21:18:55+00:00,Le land NC,"Good on them! #nccoid19 #Covid_19
https://t.co/KOlKaa9e41",1
2020-03-13 20:15:06+00:00,Le land NC,"""I don't know if I had exposure""-President Donald John Trump #Pressconference #Covid_19",1
2020-03-13 20:09:24+00:00,Le land NC,"The buck stops elsewhere...""I don't take responsibility for it at all..."" President Donald John Trump...#Pressconference 
#Covid_19",0
2020-03-13 20:07:34+00:00,Le land NC,#NC #Covid_19 https://t.co/E7QLaZuqLx,0
2020-03-13 13:42:15+00:00,North Carolina,"Kimberly Clement NC OEMS Healthcare Preparedness Manager reviews the NC COVID-19 preparedness, Provider updates (see your email) and current support actions. NCAEMSA Spring Conference https://t.co/3p9jAI8LRg",0
2020-03-15 12:33:34+00:00,"Wilmington, NC","Year one: Hurricane Florence 
Year two: COVID-19 
What an amazing time to be a scientist in education- ensuring my students are scientifically literate- but man it’s been hard to ensure vital content gets obtained!",4
2020-03-16 14:03:24+00:00,NC Coast 🌊🌴🐚🏖️,"🇺🇸 🇺🇸 🇺🇸 
Chinese Tycoon Vanishes After Calling Xi A 'Clown,' Slamming Government's Handling Of COVID-19.

Humm, 🤔🤨  Is There A Connection
Between The Chinese Tycoon
And 
The Harvard Profressor❓ 

https://t.co/I6dzJXm7HT 😡  😡  😡   😡  😡",12
2020-03-17 20:12:57+00:00,"ILM, DFW, SEA, LGA, CPH, FRA","“Whereas much remains unknown about #COVID19, it is reasonable to assume that increased risk of cardiovascular events after infection is possible. In China, CVD and hypertension were associated with an increased COVID-19 case fatality rate.” https://t.co/CNflq6ZtVo",0
2020-03-17 14:00:27+00:00,"Wilmington, NC",It is with a heavy heart that we tell you that our trip up to NY at the end of March has been cancelled due to COVID-19. We understand the severity of the situation and how important it is to prevent the virus from… https://t.co/rczM0yNYd9,0
2020-03-17 05:14:08+00:00,"Wilmington, NC","Having Roy and Coach K tell me to avoid COVID-19—or anything, really—is a dicey strategy. They’re both wrong and evil. 

At least Wake Forest is so irrelevant that Danny doesn’t even get to participate. https://t.co/NuiuV2fPg1",0
2020-03-18 23:07:46+00:00,Wilmington,"...and here we have the official White House account trying to excuse blatant racism by the President.  Crazy but not unexpected. 
The virus has a name. COVID-19 https://t.co/RCDnohYNqU",1
2020-03-18 22:31:47+00:00,"Wilmington, NC",Thank you @NewHanoverCoSch for trusting educators to work from home during the COVID-19 outbreak. Thank you #BellamyElem supportive admins @chawkfan91 @JannaLennon 🏆  My in-home classroom is ready! I learned so much today while teaching 3 @zoom_us lessons. #teachersheart #nhcs https://t.co/exaW2KUdEm,8
2020-03-18 12:45:40+00:00,Purdue University ,"The Renaissance was caused by the cultural shifts that stemmed from the Bubonic Plague. So I couldn’t help but wonder, will my love life go through a renaissance, too? Will COVID-19 allow me to rediscover what my standards of love are during this time of re-birth? https://t.co/tkI8Go9eXj",20
2020-03-18 10:49:44+00:00,,"NCADA members and Friends

Unfortunately, due to the coronavirus health issue emerging throughout the nation, the NCADA BOD has made the decision to postpone our State Conference in Winston-Salem. Once the Covid-19 threat passes we discuss future plans. Be safe! #ncadasc20",13
2020-03-19 20:32:20+00:00,"Wilmington, NC","North Carolinians, it's critical that you read this.  An elected representative threw us under the COVID-19 bus.

https://t.co/wKgYoxtHmh",2
2020-03-19 18:16:29+00:00,"Wilmington, NC",Awesome response to COVID-19 by a local business https://t.co/m9n5AthJTd,1
2020-03-19 16:53:33+00:00,"Wilmington, NC. USA",Hello Spring!!! As we are all taking our precautions during Covid-19... Happy Days are just around the corner!!! Happy 1st Day of Spring!!! #firstdayofspring #happyspring #hellospring #covid_19… https://t.co/cJQwE675XL,0
2020-03-21 22:21:58+00:00,"Wilmington, NC",It is obvious it will not be the president or the Senate that will save us during this crisis. We must turn to our state governors and ask them to step up and do what Trump and his Toadies are completely unable/unwilling to do - Help our hospitals and those infected. #Covid_19,2
2020-03-21 16:57:58+00:00,"Wilmington, NC",One Week of COVID 19 - Barenaked Ladies parody - Lyrics by @daniAWESOME https://t.co/UfHZI3HqNd via @YouTube,1
2020-03-21 02:32:08+00:00,"Wilmington, NC","making the best of #selfquarantine  #covid_19 #pandemic @ Wilmington, North Carolina https://t.co/kRF0nGKl1y",0
2020-03-21 01:26:05+00:00,"Wilmington, NC","A friend in Prague told me everyone is wearing masks there. China shipped them to Prague. China is also helping out Italy. They have supplies - if our petulant president wasn't insulting and blaming them, they might help us. #Covid_19 #CoronaVirus #pandemic @maddow @kenolin1",4
2020-03-22 23:03:07+00:00,"Wilmington, NC","#DOJ, #DemocracyNow, #FACISM 
DOJ asks Congress for broad new powers amid Covid-19. Schumer says, “Hell no.”

https://t.co/OwYcbJNGUA",0
2020-03-22 13:15:41+00:00,"Wilmington, NC",Nothing makes you a bigger piece of garbage than telling people that crystals and essential oils cure or treat COVID-19.,3
2020-03-23 22:02:05+00:00,Wilmington NC,@DanaPerino The economy &amp; Covid-19 are like what the body has to go through with chemo. The body is decimated by chemo and either healthy cells come back or they don't. We need to decimate our situation and then let the good come back. Maybe this would make sense to more people,0
2020-03-23 20:00:32+00:00,"Colorado Springs, CO",Carolina Beach officials holding a meeting to give an update on the towns response to Covid-19. #WWAY https://t.co/liLpChiZg4,2
2020-03-23 02:44:06+00:00,"Wilmington, NC","#MitchMustGo, #COVIDー19
#senate 
 McConnell Blows A Gasket, Democrats Block His Covid-19 Stimulus Scam.
He wrote a stimulus bill that was nothing more than a gift to Wall Street and corporations. so Senate Democrats blocked it.
The final vote was 47-47:

https://t.co/jXRoXMb42W",1
2020-03-25 23:24:46+00:00,Great White North,@untappd Where my COVID-19 badge? - Drinking a Jurassic IPA by @cameronsbrewing @ Untappd at Home  — https://t.co/ABK0wdxQnh,1
2020-03-25 23:05:53+00:00,,"That last pack of #toiletpaper in the store is like this... 😍⁣
⁣
SONG: ""Jupiter"" ⁣
by @mathisgrossmann + @kennywesley⁣
⁣
#corona #quarantineblues #covid_19⁣
#coronavirus #hoarding #hoardingtoiletpaper #costco… https://t.co/LZkrl6dykq",0
2020-03-25 21:33:35+00:00,"Los Angeles, California","Can't spread COVID-19 if there's no one to spread it to. 🤔

Friends. DM me for friend code. I have ""fruits"" 👀 @ Animal Crossing https://t.co/nMfoveCDnu",4
