Datetime,Location,Text,Like Count
2020-03-11 23:27:48+00:00,United States,JPM really thinks COVID-19 cases will peak in a few weeks? https://t.co/2CMiWcdGVR,7
2020-03-11 22:15:07+00:00,"Jacksonville, FL","Closing #mortgages faster than the CDC can detect COVID-19 😁🤣🤭🕺🏽 @ Jacksonville Realty &amp; Financial Services, Inc. https://t.co/7HbDiYiuvO",0
2020-03-11 22:13:11+00:00,"Philadelphia, PA","Closing #mortgages faster than the CDC can detect COVID-19 😁🤣🤭🕺🏽 @ Jacksonville Realty &amp; Financial Services, Inc. https://t.co/NK25HRA0yQ",0
2020-03-11 17:01:50+00:00,"Jax Naval Air Station, FL",@duty2warn #coronavirus #flatteningthecurve #Covid_19 https://t.co/kSHWT3FG8A,7
2020-03-11 14:24:51+00:00,"Jacksonville, Florida","@ActionNewsJax has non-stop coverage of all the big stories today, and continuing coverage of the latest developments of the COVID-19 Coronavirus: locally, nationally and around the world. Be sure to tune into CBS47 at Noon: https://t.co/AAxprpdqp5",1
2020-03-12 23:42:09+00:00,"Florida, USA",Coronavirus is closing down the south and we’re semi pissed 😡 about it. #CoronavirusPandemic #CoronaVirusUpdate #Covid_19 #COVID2019 #CoronaOutbreak,0
2020-03-12 19:55:37+00:00,"Lakeshore, FL","Jaguars and Bold Events and making preparations because of COVID-19 
.
.
#pandemic #Jaguars #BoldSports #Duval #thursdayvibes @ Jacksonville, Florida https://t.co/5TlgAwZ5Zx",0
2020-03-12 19:20:21+00:00,"Jacksonville, FL","In preparation for Tuesday’s Florida primaries, the @CityofJax Elections Office stocks up on recently purchased disinfectant supplies to be stocked throughout the precincts. #CoronaVirus #COVID19 #Voting #FloridaPrimary https://t.co/XoK2bTohi2",1
2020-03-12 11:41:56+00:00,🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,"“Finally, the country may not be catching many of the mild cases of COVID-19. Often, as testing expands within a community, more mild cases are found, which lowers the overall death rate, Gordon said. 3/4",0
2020-03-12 11:41:56+00:00,🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,"“Many of Italy’s deaths have been among people in their 80s, and 90s, a population known to be more susceptible to severe complications from COVID-19, according to The Local.” 2/4",0
