Datetime,Location,Text,Like Count
2020-03-11 22:34:19+00:00,"Honolulu, HI","#BREAKING: Woman in her 30’s from Ontario, Canada tests positive for COVID-19 after recently returning from trip to #Hawaii - @HIgov_Health says they’re working to get updates from CDC @KITV4 #Coronavirus https://t.co/6pdNjBUtBr",12
2020-03-11 22:19:58+00:00,"Honolulu, HI",The @WorldHealthOrg2 declares the #coronavirus a pandemic. #WHO Director-General says pandemic is not a word to be used lightly.  #COVID19 #Hawaii @KITV4,0
2020-03-11 21:11:22+00:00,Honolulu,"So, the next step of punk anarchy is to continue to live life, attend events, seek happiness while we’re being instructed to stay at home in isolation instead.  Go out there.  Be an anarchist and be brave.  And be happy.  This is medicine. #coronavirus #Covid19",1
2020-03-11 21:05:26+00:00,My Heart,"Re:COVID -19. Everyone should ensure your mouth &amp; throat are moist, never dry. Take a few sips of water every 15 minutes at least. Drinking water or other liquids will wash them down through your throat and into the stomach 🍂☕️ https://t.co/lrwuUoFhYd",6
2020-03-11 20:00:07+00:00,"Anchorage, AK",Is it strange I’m OK with rich people losing their fake money? #bearmarket #coronavirus #COVID19,519
2020-03-11 19:55:35+00:00,"Anchorage, AK",Hey @TheDemocrats. No bailout for wall street or corporate interests! Mandate 2 weeks sick pay for all workers (in addition to anything they might have) and cover all Coronavirus related care and no cost to patients. That’s the bailout we need. #COVID19,1
2020-03-11 19:20:08+00:00,,COVID-19 canceled 2020 yo,5
2020-03-11 19:13:01+00:00,"Ewa beach,Hawaii,USA","COVID 19 AY ISA NG PANDEMIC, AYON SA WORLD HEALTH ORGANIZATION https://t.co/XZRQIhJuSb via @YouTube",0
2020-03-11 18:49:11+00:00,"Calgary, Alberta","This would be the right thing to do! #coronavirus #COVID19 #kanada #cdnpoli Ottawa nears decision on delaying cruise ship season in #Canada due to coronavirus, sources say /via @globeandmail https://t.co/fhdRujjknE",1
2020-03-11 18:39:23+00:00,"Calgary, Alberta",Canada is taking action to fight #coronavirus. What is the US doing? #COVID19 #COVID2019 #kanada https://t.co/rFDxzVSkMR,0
2020-03-11 17:59:10+00:00,"Honolulu, Hawaii",Tests show new coronavirus lives on some surfaces for up to 3 days via @staradvertiser https://t.co/ksReRSIh5g #covid19,0
2020-03-11 15:44:43+00:00,United States,It is understandable that a number of you may be anxious about travel in the next few months given the news surrounding COVID-19. Gradweek has released an update. Head over to FB for further details ➡️… https://t.co/C2Uh3XrNRL,2
2020-03-11 06:08:38+00:00,"Silicon Valley native, lives on Maui","@tedlieu @doowahtn @realDonaldTrump @POTUS Doesn’t medical oath express ‘do no harm’? Clear implication is, if someone needs medical attention, help! Bottom line: Trump denied Covid-19 to prevent Wall Street downturn. Sole priority is $$$ - never citizens. #TRUMPHELL.",0
2020-03-11 04:41:22+00:00,Hawaii,"Concerned about the coronavirus/COVID-19? Visit https://t.co/4FzugKulrD for clear, reliable information. https://t.co/NGhkinE4eE #hmsaHI #COVID19",2
2020-03-11 04:37:40+00:00,"Silicon Valley native, lives on Maui",@nhbaptiste @maggieNYT @nytimes Heard at least 2 acquire Covid-19 from each infected person - who may not know they’ve got it.,0
