Datetime,Location,Text,Like Count
2020-03-11 23:12:59+00:00,"Boise, ID USA","https://t.co/P5AYFxtG21

🔥😲👹 WTH🔥😲👹

DJT/Task Force Waiting On Research From Kushner Before Final COVID-19 Discussion With America⁉️ 
The uneducated leading the uneducable with Americans future in limbo👎🏼😡

#Resist #ReclaimIdaho #IndivisibleID #PostcardsToVoters  #IDDEMS",0
2020-03-11 21:06:28+00:00,"Boise, ID USA","https://t.co/J5T9l77coW

💥BREAKING NEWS💥 WHO declares COVID-19 is a pandemic🔥

""warned some countries must radically expand testing beyond those who knowingly may have been exposed to the virus."" 😲 US not up to standard 👎🏼

#Resist #ReclaimIdaho #PostcardsToVoters #IDDEMS",0
2020-03-11 20:25:54+00:00,"Boise, ID USA","https://t.co/tWgvTsPWXX

Mnuchin &amp; Pelosi to hammer out best economic measures to assist Americans hit by COVID-19 pandemic after Liar-In-WH ideas are squashed.
Time line a real problem🔥

#Resist #ReclaimIdaho #IndivisibleID #PostcardsToVoters #IDDEMS #SWIdahoNOW #idyoungdems",1
2020-03-11 18:02:29+00:00,"Boise, ID",In search of 19 19year old coeds with covid 19 for 1.9 hour stream sampling 19 different cooked corvids. #CoronavirusUSA,0
2020-03-11 04:17:51+00:00,"Boise, ID",Just saw the @KTVB verify report on COVID-19 facts and they quoted the WHO.  See below from @lanheechen https://t.co/kbvz9mtVf3,1
2020-03-11 00:09:20+00:00,"Idaho, USA","A tragedy is that I’m stuck in a stuffy, windowless lab, dealing with potential COVID-19 samples while y’all get to enjoy this beautiful weather #washyourhands",6
2020-03-12 23:51:57+00:00,"Boise, ID USA","https://t.co/9ZjEn8aNeL

✔⚕ Excellent COVID-19 Information From House Hearings ✔⚕

#Resist #ReclaimIdaho #IndivisibleID #PostcardsToVoters #IDDEMS #idpol #DemCastID #SWIdahoNOW #idyoungdems",1
2020-03-12 23:22:13+00:00,"Meridian, ID",A thread of COVID-19 common sense worth following https://t.co/l2UZvCNuM7,4
2020-03-12 22:04:47+00:00,"Boise, ID",I’d like to thank covid-19 for bringing my boyfriend home 4 months early. There’s a silver lining in every dark cloud.,5
2020-03-12 21:49:14+00:00,ID,"@cynnann_ COVID-19 has a higher mortality rate though. That means a higher percentage of people infected die, however people being precautious isn’t a bad thing but the hysteria is a bit much",0
