Datetime,Location,Text,Like Count
2020-03-11 21:00:41+00:00,,"Some of you were never forced to watch Outbreak in high school and it shows. 
#COVID19 #coronavirus #WashYourHands",0
2020-03-11 18:01:56+00:00,"Wichita, KS","PSA: If you’re wearing a mask because of the Coronavirus that’s telling everyone that your ass is infected! STAY AWAY! 

#Pandumbic #WallpaperWednesday #E3Cancelled #Corona #flatteningthecurve #WednesdayVibes #COVID19 #coronavirus",2
2020-03-11 15:40:02+00:00,"Hutchinson, Ks","John Travolta was hospitalized for suspected COVID-19, but doctors now confirm that it was only Saturday Night Fever, and they assure everyone that he is Staying Alive. Apparently he had chills that were multiplying.",0
2020-03-11 15:07:46+00:00,Wichita,"@danajaybein Doing pretty good. Had some big personal news go public over the weekend, but it’s a hurry up &amp; wait sort of a thing. Now back at it in my day job. Focusing on how to prepare our community for COVID-19 but also doing all the usual things on a Wednesday. One step at a time!",1
2020-03-12 23:40:57+00:00,Texas,I’m ready for you COVID-19! https://t.co/8uIC9grbkJ,4
2020-03-12 22:52:45+00:00,Wichita,"Shoutout to companies taking COVID-19 seriously. To implement work from home policies, allow people to self quarantine, and encourage safe behavior.

It’s not about us, it’s about those around you. Take care of yourself, for them.",4
2020-03-12 22:50:40+00:00,"Tucson, AZ","Extensive information regarding Wichita State University's planning and preparation for the COVID-19 Coronavirus is now available online. Shocker Nation is strong and we'll get through these challenges together!

Full Release: https://t.co/R6EQsHp1uB https://t.co/XnZvafYblA",1
2020-03-12 22:44:02+00:00,"Wichita, KS","In the social media marketing industry, we’re constantly talking about how consistently and rapidly #smm news breaks. 

Then Covid-19 appears one day and is like “hold my beer.” 

Sending positive vibes out to the world. 🤍🌎",6
2020-03-12 22:35:30+00:00,,This is why I don’t travel abroad. This and the fact that I’m poor. #Covid_19 #CoronavirusPandemic,2
2020-03-12 21:52:20+00:00, Scholar of Vibes & Sparkles,"⚠️❗️
COVID-19 Update
WSU Alert:In-person classes suspended March 16-20 and go online and/or remotely March 30. University to remain open. For more details, go to https://t.co/khQAZxLvsN",0
2020-03-12 20:56:58+00:00,"Wichita, KS","Sucks that basketball is cancelled. I was kinda looking forward to silent basketball games with only sneakers squeaking on the court and ball bounce noise. 👟 🏀 

#NCAA #NBAsuspended #Covid_19 #COVD19 #CoronaOutbreak #coronavirus",13
2020-03-12 17:27:05+00:00,"Wichita, KS",Should Wichita State University move their classes online due to COVID-19? @KSNNews asked their students this morning. You can hear their thoughts this afternoon at 5 and 6 p.m. @myShockerHealth @GoShockers https://t.co/vrCe3i5ZEm,1
2020-03-12 16:07:42+00:00,"Wichita, KS",#BREAKING: The total for COVID-19 cases in Kansas is now 4. https://t.co/rljfVh5o2o,0
2020-03-12 14:56:53+00:00,,"@Moundbuilders, Due to the recent cancellations in our area, as well as the possibility of COVID-19 in Winfield, The student body would like to request an extended break of some sort to ensure our safety during this time of uncertainty.",2
2020-03-12 13:38:12+00:00,"Wichita, KS","@thegoodgodabove Why are people still buying toilet paper to combat COVID-19? 

Clearly, a coating of slightly orange spray-on tanning solution grants near total immunity.",3
2020-03-12 13:20:08+00:00,"Nashville, TN Metro ","I love @TulsiGabbard so much! She's a true patriot, and leader, and she is calling on country and human loyalty, not loyalty to party... Tulsi is part of the solution. #TulsiMediaBlackout #Covid_19 #BernieTulsi2020 #TulsiGabbard #NotMeUs https://t.co/wGIszz1rsL",0
2020-03-12 05:35:21+00:00,"Wichita, KS","It’s crazy that @rudygobert27 was making fun of COVID-19 and his idiotic self got it and ruined it for the entire league, 🤦🏽‍♂️",9
2020-03-12 04:49:08+00:00,"Denver, CO",For college students using Zoom due to #Covid_19 #coronavirus don’t type anything too risky when you’re messaging each other! https://t.co/32azxgrr2D,2
2020-03-12 04:03:15+00:00,"Wichita, KS","@GoShockersMBB Alas, all official fan activities have been canceled in response to the COVID-19 pandemic.",7
2020-03-12 03:23:22+00:00,"Wichita, KS",Can I just say how disappointed I am in media outlets conforming to calling COVID-19 “the Coronavirus”? It’s like calling H1N1 “the influenza”. We are hilariously screwed if this mutates,0
2020-03-12 02:44:36+00:00,"Wichita, KS","“COVID-19 hasn’t permeated the population as much as any influenza!”

“Well ya, that’s the point. If it does, it will kill 15-20x as many people as influenza. Literally what we are trying to prevent.”",4
2020-03-12 01:32:56+00:00,"Wichita, KS.",The @American_MBB Tournament in Fort Worth is also limiting who can enter the arena because of the possible Coronavirus outbreak.  #pandemic #COVID19 😲😲😷😷🏀🏀 https://t.co/Pac0r53osa,0
2020-03-13 23:07:43+00:00,ICT,Friday the 13th: receiving 194728493 emails regarding COVID-19 🙃,2
2020-03-13 21:57:39+00:00,"Derby, KS",Since this virus I have not seen one Jehovah’s Witness #QuarantineAndChill #Covid_19 #TrumptheWorstPresidentEVER #COVID,1
2020-03-13 21:12:35+00:00,"Kansas, USA",The more news i see about the #Covid_19 the more I think this is a Chinese bioweapon.,0
2020-03-13 19:34:22+00:00,Stolen land. ,Just witnessed a poor Dillon’s employee on her way to restock some paper towels getting chased by a herd of customers. #Covid_19,1
2020-03-13 19:17:47+00:00,"Wichita, KS",#Covid_19 @SACM_USA https://t.co/TNt0K76qxV,0
2020-03-13 17:29:00+00:00,Midwest Kansas,@Marie_Frances2 We also only have 1 covid-19 case in our city here so I’m surprised they are really push for this,0
2020-03-13 17:08:08+00:00,"Near Philadelphia, PA",I think the coronavirus has simply brought out everyone's innermost desire to hoard toilet paper.  God knows it's something I've struggled with daily.  #coronavirus #toiletpaper #ToiletPaperApocalypse #Covid_19 #CoronavirusPandemic,0
2020-03-13 16:51:41+00:00,"Nashville, TN Metro ","https://t.co/6WuI34ow9p
Just unreal peformance on @jimmyfallon by @HAIMtheband. I would have risked #Covid_19 to see them. These women 🤘, #FamilyBandGoals Danx to my bestie for finding them and putting them on my path. #FridayVibes #HAIM 🤙❤",0
2020-03-13 13:23:41+00:00,"Wichita, KS.",Why isn't the USA on the phone with these folks right NOW ??? 😠😠🤔🤔😷😷💊💊⚕️⚕️ #Covid_19  #coronavirus https://t.co/qH1zsxIlFe,0
2020-03-13 12:09:49+00:00,Your Mom's house ,#Covid_19 https://t.co/9FJv2M3kUE,0
2020-03-13 05:41:46+00:00,"Wichita, KS","As if the week couldn’t get any crazier...
Friday the 13th Part COVID-19
#FridayThe13th #Coronavirus #coronavirusmemes https://t.co/NmTKTSzkWJ",0
2020-03-13 04:52:10+00:00,,"No but like deadass, COVID-19 can literally kiss my ass. https://t.co/nZ5A3s2Pnx",1
2020-03-13 03:26:50+00:00,"Kansas, USA",Since apparently half the world didn’t know what cleaning products before COVID-19 better teach them how to use them 🤷🏼‍♀️ https://t.co/tSh14CAyAh,1
