Datetime,Location,Text,Like Count
2020-03-11 22:53:36+00:00,"Biddeford, ME, USA",Thinking about visualizing #COVID19 #coronavirus data? Please read this fantastic piece by @abmakulec first so your viz can add to the discussion and not inadvertently do harm. https://t.co/wd9FZv46fC,46
2020-03-12 22:43:03+00:00,"Portland, Maine",Really hope the next #Covid_19 positive person wasnt last seen at #rockandrolllaundry,0
2020-03-12 19:51:26+00:00,"Freeport, Maine USA","Heads up, #maine #CoronaOutbreak #Covid_19 #CoronaVirusUpdate #SocialDistancing #washyourdamnhands https://t.co/qhgiiPSLC0",0
2020-03-12 19:34:28+00:00,"Portland, ME",Nobody aloud to “just take one hit” of my juul now that Covid 19 has made its way to the 207,1
2020-03-12 18:15:21+00:00,"Portland, ME","On Maine Public, epidemiologist says the use of the word “novel” means what it sounds like: new. The COVID-19 coronavirus has a wide spread of genomic factors we can’t be certain about: chance of reinfection, immunity rates; how it reacts to eventual vaccine.",2
2020-03-12 15:24:23+00:00,"Freeport, Maine USA",BuT hEr EmAiLs YoUzE gUyZ #COVD19 #TrumpVirus #TrumpPandumbic #Covid_19 https://t.co/0kB58NbX3F,1
2020-03-12 15:22:05+00:00,"Freeport, Maine USA","So, my letter carrier just came into the store to drop off our mail, and upon seeing me use hand sanitizer decided it was a priludent time to proclaim that she doesn’t believe in germs. SHE DOESNT BELIEVE IN GERMS YOU GUYS. #CoronaVirus  #Covid_19 #CancelEverything #TrumpVirus https://t.co/DR3gPnSEIJ",0
2020-03-12 13:46:15+00:00,"ME, USA",Wanted: home rapid Covid-19 and influenza tests that we can take fairly often to see if it's really warranted to miss work and not get paid for 2+ weeks.,0
2020-03-12 12:09:37+00:00,"Biddeford, ME, USA","Social distancing isn’t just about keeping you safe from #COVID19 #coronavirus, it’s about taking care of other humans too. https://t.co/cMogrcJq6Z #bendthecurve",10
2020-03-12 03:55:09+00:00,"portland, maine",we have all already died from covid-19 and this is hell https://t.co/gVq8bFMOs6,0
2020-03-13 22:44:03+00:00,"Portland, ME",Warm wishes to Raquel &amp; Jake Stevens for their opening weekend at 85 Free Street. My thoughts are with leewardmaine and all other Maine businesses as they navigate the unprecedented complications of the  COVID-19… https://t.co/0wcoK0dRK0,0
2020-03-13 22:06:51+00:00,"Portland, ME","Like many others, we at Austin Street Brewery are closely monitoring the status of the COVID-19 virus. The health and safety of our employees and guests is and always has been at the top of our list. By working with… https://t.co/0NWAU6Sr8D",3
2020-03-13 19:44:42+00:00,"Portland, ME",Vanna White of COVID -19,0
2020-03-13 18:51:18+00:00,"Saco, Maine","When i lived in OKC, Twitter was great for getting info out about where tornadoes were traveling. Can’t seem to find that here in Maine about COVID-19.",1
2020-03-13 18:07:22+00:00,"Portland, ME",Protocols in place at shelters: second and third floors reserved for isolation for those confirmed with COVID-19.,0
2020-03-13 17:49:36+00:00,high somewhere . ,..my boss thinking i’m about cleaning Covid-19..i told him straight up i’m not! I don’t get paid enough for this bullshit already lmao https://t.co/tSmPYZIq4T,0
2020-03-13 16:02:30+00:00,"Portland, Maine, USA","The safety &amp; well-being of our team and visitors is of the utmost priority. At this time we are maintaining normal hours, but will NO LONGER BE TAKING CASH until further notice. Stay kind out there 💚 FMI on our safety measures regarding COVID-19: https://t.co/uLDNFKNMpd https://t.co/N8NTG0IWsU",13
2020-03-13 15:22:16+00:00,"Portland, ME","We are a small and also quite intimate beer house, which means close friendships with lots of high-fives and hugs and kisses. With COVID-19, we need to do our part to slow the spread and ""flatten the curve"". Some… https://t.co/FZpNaU87xj",0
2020-03-13 12:58:57+00:00,"Old Orchard Beach, ME",Truth and these 52 senators including @SenatorCollins and @senatemajldr are culpable in @realDonaldTrump active blocking of tests and failure to respond to #Covid_19 in January! #Shame https://t.co/LCilJGIs1t,1
2020-03-13 12:55:44+00:00,"Old Orchard Beach, ME","If true, and I assume it is, @realDonaldTrump slowed adequate testing for #Covid_19 to protect his chances for re-election. Remember he called this disease a #hoax? What more is it going to take to show this man is #UnfitToBePresident #VoteBlueToEndThisNightmare https://t.co/uvpz9r2yVE",0
2020-03-13 12:19:54+00:00,Maine ,Tune in to see @alexsteed presentation about video production and work in the age of #Covid_19. Streaming via #smbme right now. https://t.co/VIwP3erTG8 https://t.co/UywUrVbEy0,2
2020-03-13 12:02:32+00:00,"Westbrook, Maine","COVID 19 is on the ballot.  It is likely that this issue will still be with whoever is sworn in on January 20, 2021.
Now is their audition.  One candidate gets to do it for real, which could work out 1 of 2 ways but that is on him.",0
2020-03-13 03:34:37+00:00,Portland/Boston,It was a bittersweet night at @portcitypcmh as I got to see againstme crush it to a sold out crowd with @stefchura before learning the rest of their tour was cancelled due to COVID-19. This is probably the last show… https://t.co/6cUx2ido37,1
2020-03-14 22:39:47+00:00,"Portland, ME","what if I said something like, “I ate a McDonald’s apple pie &amp; then I tested positive for COVID-19...” ?",0
2020-03-14 21:58:00+00:00,"Maine, USA","@Airbnb @AirbnbHelp I would like to get a full refund for my trip to Spain that I had to cancel. Out of three bookings, one host had strict policy. I only gotless than half and am out almost $420. Spain is in lockdown! Trip was to Barcelona in April #Help #coronavirus #COVID19",1
2020-03-14 21:35:28+00:00,"St Petersburg, FL",#BREAKING: The Maine CDC reports the state now has a total of three presumptive positive and three preliminary presumptive positive (which means they’re under review) cases of COVID-19. @newscentermaine,9
2020-03-14 16:17:47+00:00,"Portland, ME","(3/3) our top priority.  Let's work together to stay healthy and safe, while we keep your pets happy and healthy.

Warmest Woofs, Meows, and Elbow-Bumps,

The Fish and Bone

https://t.co/7nOehGLkhn

#thefishandbone #portlandmaine #boston #coronavirus #covid_19 https://t.co/v5PiSg0Wh9",0
2020-03-14 12:47:00+00:00,"Maine, USA",Trying to explain to the girls that they cannot “shake hands” anymore! #covid_19 #handshakes #safetyfirst #doggreetings #allianceoftherapydogs #dogsofinstagram #labsofinstagram #207 #maine #207maine #n95mask… https://t.co/wTJs3byCCv,0
2020-03-14 05:48:38+00:00,"Westbrook, Maine",@MollyJongFast What’s up with that?  COVID 19 is not a diarrhetic.,0
2020-03-15 20:30:58+00:00,"Portland, ME","#covid_19 #virusgeddon @ Portland, Maine https://t.co/QAK4C58Wr9",0
2020-03-15 14:32:05+00:00,"Maine, USA",A great run down of the latest COVID-19 news in Maine. #mepolitics https://t.co/HYFSb88tDP,7
2020-03-15 14:01:40+00:00,"New Brunswick, NJ",@senatemajldr you are responsible for all deaths related to covid-19 in the US. You have cut public health funding and wanted to dismantle that ACA to give “choice.” Congrats: we have increased choices of where and how to die!,0
2020-03-16 18:39:09+00:00,"Portland, ME","NEWS ⚡ UPDATE: Maine Courts have been closed until May 1, 2020 for all but emergency proceedings due to COVID-19. @CityPortland Details are at https://t.co/nWOBUK9buy #COVID19 #coronavirus #MondayMorning #StayHome #StayHomeSaveLives",6
2020-03-16 17:51:57+00:00,"Portland, ME | Self-Quarantine","@RogueSNRadvisor Demand your reps defund the border wall &amp; put the $10bil into fighting coronavirus. We need the money for sick leave, food, student loans, mortgages, businesses’ expenses, Covid-19 testing and treatments, etc. Sick people can’t #StayHomeSaveLives without full sick pay. #COVID19",0
2020-03-16 16:40:18+00:00,"Portland, ME | Self-Quarantine","@TylerS306 @fuber316 @BreakingNews @JRsBBQ @NBCNews 100% accurate. My right to not die from Covid-19 tRumps the “muh rights” crowd’s desire to not let the government make decisions based on the needs of the many. I’m immune-compromised &amp; staying home, but that doesn’t help if everyone else spreads Covid so wide it lasts all year.",1
2020-03-16 02:56:22+00:00,,This virus has a weakness. If you stay home and keep your hands clean it will implode on itself. It is time to learn about being in service to others.....#COVID19,0
2020-03-16 00:10:46+00:00,"Portland, ME | Self-Quarantine","@armsivilli @MommaKingMWD @cmclymer Covid-19 lasts up to nine days on plastic, too. I’m doing my part, staying home with you all! Couch wars for the win. #winning #COVID19US #TrumpVirus2020 #TrumptheWorstPresidentEVER",3
2020-03-17 23:10:59+00:00,"Portland, ME",People are literally bartering chicken for toilet paper. #coronapocolypse #coronavirus #COVID19 #COVID19 #CoronavirusPandemic #CoronavirusOutbreak #CoronavirusUSA #coronavirus https://t.co/rPlP0AGI7l,1
2020-03-17 22:22:42+00:00,,Update from my mom from Collier/Lee county area in FL. AND she works in healthcare. We have a family member who can't visit her mother in a nursing home because a resident was dx'ed with COVID-19. She also has a grandson who attends a middle school where a child was also dx'ed. https://t.co/lja4Z8cpFt,0
2020-03-17 21:19:14+00:00,"Maine, USA",Rebecca Hoffmann Frances is a clinical leader at Maine Behavioral Healthcare in Portland. We got insight on how you should talk to your kids about what’s going on with COVID-19. @ShannonMossTV is live at 6 with more on #NEWSCENTERmaine https://t.co/BheUh5e7gC,2
2020-03-17 21:08:23+00:00,Maine,"@YoniFreedhoff Contemptible, bold-faced buffoonery.

I’m getting tons of pitches about COVID-19 miracle protocols, products and services and deleting them all in disgust.",4
2020-03-17 16:26:51+00:00,"Portland, ME",What You Need to Know About St. Patrick's Day in Maine: Tips on how to Stay Safe and out of Trouble. #stpatricksday #stpattysday #coronavirus #COVID19 #maine #QuarantineLife https://t.co/i8U0IQEFd4 https://t.co/4k0LH92xxt,5
2020-03-17 10:41:51+00:00,"Portland, ME",It is with great sadness that we have decided to close the tearoom for an indeterminate amount of time in an effort to stop the spread of COVID-19. 😌 We will provide updates here with changes to this plan. In the… https://t.co/v6EHPZo791,1
2020-03-17 08:47:47+00:00,"Baltimore, MD","Some Portland restaurants will offer takeout and delivery. However, many others are completely closed today as a result of the curfew.

This includes Rí Rá Irish Pub. 😭🍀🇮🇪
#coronavirus #COVID19 https://t.co/PgMdQtYVeD",2
2020-03-18 23:42:21+00:00,"Portland, ME",Hi if you accept a government check coming in the next few months for Covid-19 relief you best be voting for @BernieSanders in the upcoming election. Okay thanks ❤️,13
2020-03-18 19:23:27+00:00,"Portland, ME",@WhiteHouse It’s COVID 19. Four syllables. 8 keystrokes. It’s not that hard. You buncha racists,0
2020-03-18 18:01:11+00:00,Mongolia,This shot was too ironic not to share. #covid_19 #hoarders #maine @ Hannaford Supermarkets https://t.co/yTwHOqiKMI,1
2020-03-18 14:30:51+00:00,"Maine, USA",'It's unprecedented': How to talk to your kids and teens about COVID-19 https://t.co/5RXvrQzbB6,1
2020-03-18 04:43:32+00:00,"Portland, ME | Self-Quarantine",Thread by @ASlavitt: Currently experts expect over 1 million deaths in the U.S. since the virus was not contained &amp; we cannot test; this will be recorded as a major preventable public health disaster… https://t.co/7XwPt50sw2 #StayHomeSaveLives #lowerthecurve #COVID19 @POTUS,0
2020-03-18 02:27:42+00:00,"Portland, ME",More languages: COVID-19 Factsheet https://t.co/Y7Z56YWin9,0
2020-03-18 02:26:46+00:00,"Portland, ME",COVID-19 Fact sheet in several languages https://t.co/I6jlDpdEeQ,0
2020-03-19 19:44:26+00:00,"St Petersburg, FL",Four residents of OceanView of Falmouth retirement community have now tested positive for COVID-19. The facility spokesperson says residents have been told to shelter in place. The only people being allowed beyond this entrance are staff. Details tonight on @newscentermaine https://t.co/GStmF3LHLV,7
2020-03-19 15:36:56+00:00,"Maine, USA","#BREAKING 

Maine CDC’s Dr. Nirav Shah says the state is currently reporting 52 cases of COVID 19. 

@WGME",1
2020-03-19 14:55:34+00:00,"Yarmouth, Maine USA",Great 10 minute #video about the spread of germs/Viruses. #COVID19 #Corona_Virus please share. https://t.co/VYplcBLCbN,0
2020-03-19 04:27:14+00:00,"Saco, ME","Things to do in the midst of the Covid-19 crisis, adult inspirational coloring book. #WakeMeUp #COVID19 #stressrelief #coloringbook https://t.co/MHoHn1jInX",0
2020-03-19 01:47:02+00:00,"St Petersburg, FL","@Anglo28568414 @newscentermaine COVID-19 is more contagious and more deadly than flu. Hospital officials have said repeatedly that if we do not aggressively slow the spread of the virus, they will be overwhelmed. Such is already the case in many major cities across the country.",1
2020-03-20 23:03:36+00:00,Maine,"Picking up takeout from one of my favorite restaurants tonight. 

If you are able, support these local businesses.  They need you now. #Covid_19 

https://t.co/OEZrgQnDMV",1
2020-03-20 21:47:11+00:00,Portland/Boston,@marcorubio So the party of insider trading and delaying COVID-19 response for 2 months suddenly cares about the average person!?,0
2020-03-20 20:15:56+00:00,"Portland, ME",It's not every day I can say @PhotogKenn and I stopped traffic but today (My 1 yr anniversary @NECN /@NBC10Boston) we did! Had to do it to find out how COVID-19 is impacting @MaineTurnpike / its staff. The short answer: lots of people on paid leave and small projects put off https://t.co/jwBaRy7nYJ,12
2020-03-20 18:59:54+00:00,"Portland, Maine, USA","This poor man. #saveDrFauci #TrumpVirus #TrumpLiesAboutCoronavirus #Covid_19 
https://t.co/fhtV3q0mLN",0
2020-03-20 17:30:19+00:00,"Saco, Maine, USA","How To See Germs Spread (Coronavirus) https://t.co/efd6iQMmT6 via @YouTube &lt;~ This is cool. Thanks for sharing, @agileadam. #science #Covid_19 #washyourhands #donttouchyourface",0
2020-03-20 09:40:00+00:00,Occupied Wabanaki Land ,1/4 million cases today- and think if we knew the real #? COVID-19 https://t.co/lTv1M08lf8,0
2020-03-20 09:37:36+00:00,"Maine, USA","Of course, in a bear market for risk assets, things change quickly. News flow will remain negative until further notice. A big hedge fund has blown up, unemployment is skyrocketing, COVID-19 cases in US accelerating, and CA orders stay at home effective next Thursday (why wait?)",0
2020-03-20 00:14:06+00:00,"Saco, Maine, USA","Watching “The Last Man in Earth” on @Hulu. A virus wipes out most of humanity. It’s more funny than “Outbreak,” which I watched yesterday. #Covid_19",2
2020-03-20 00:06:54+00:00,"Raymond, Maine","Today is the first day of spring but also 8th day of being home due to COVID-19 and I am so ready to get out on the trails this weekend! I miss my friends, I miss social interactions, I miss lots of things but I… https://t.co/aPBUB0K2Q7",1
2020-03-21 19:35:26+00:00,"St Petersburg, FL","24-year-old Zoe Grant is a semi-professional snowboarder racer. She ran a half-marathon in January. Now, she’s fighting off COVID-19. Her message to other young people: “Even if you are young and healthy and athletic, it’s still not fun!” More tonight on @newscentermaine https://t.co/TOKnCV0u0y",14
2020-03-21 17:03:40+00:00,"South Portland, ME","With schools closed due to the COVID-19 national emergency, children and teens are spending a lot of time isolated from friends &amp; extended family.

#BeSMART: Assume children &amp; teens know where guns are stored and keep them locked, unloaded &amp; separate from ammunition. @MomsDemand https://t.co/JPE2f7lDti",2
2020-03-21 15:27:44+00:00,"Freeport, ME","Stuck at home or not, kids find a way to may light of a tough situation. Rolled in the mud, splashed in puddles, and was concerned about the worms being “cozy.” That’s my girl.  #dadlife #StayAtHome #SaturdayThoughts #Covid_19 https://t.co/iS1KBv7kVI",2
2020-03-21 04:20:58+00:00,"Portland, ME | Self-Quarantine","@Barbdewar @265kay @CollieGirI @satufox Excellent idea, using Nextdoor. I’ve been wanting to adopt an older person or someone alone who needs a Covid-19 buddy. Not really wanting to go door-to-door and get breathed on, although I do consider it when walking our dog. I’ll check the app.",0
2020-03-21 02:24:59+00:00,Boston🚆NYC🚗Maine,"Hindsight will be 20/20, but in 2020 it’s pretty damn clear we need to be doing a fuck of a lot more. #testing #ventilators #FreeThemAll #COVID19 #coronavirus",3
