Datetime,Location,Text,Like Count
2020-03-11 23:46:31+00:00,IA,@JarvisGrid_5 Nope. They aren’t even drawing pairings until the 15th but they are talking about postponing March madness I heard due to COVID-19,0
2020-03-11 22:47:00+00:00,"St. Paul, MN ",'Deeply concerned' WHO declares COVID-19 pandemic https://t.co/vfv6EobKKR,0
2020-03-11 22:12:42+00:00,"Minneapolis, MN","If you’ve heard the term “flatten the curve” re: COVID-19, here’s a good article explaining what that means and why it’s important. https://t.co/gvkOlbVCM8",1
2020-03-11 21:52:27+00:00,"Minneapolis, MN",who would start up plague inc and name their doomsday epidemic “COVID-19”?,3
2020-03-11 21:13:39+00:00,"Minneapolis, MN","🚨BREAKING NEWS🚨

The Richfield Men’s League play-in game between the No. 8 seeded Ellsworth 3’s Curds &amp; the No. 9 seeded Wizard Sleeves is still on for tonight at 7:30pm, despite the current COVID-19 situation. #CurdsUp",5
2020-03-11 20:51:01+00:00,"South Saint Paul, MN","🏀NCAA president Mark Emmert: 'Only essential personnel and limited family attendance' will be allowed due to COVID-19

https://t.co/cUKA8mbMkh

via https://t.co/jXPbqbanZB",1
2020-03-11 19:02:57+00:00,"St. Paul, MN","For anyone wanting or planning to attend #JNUC2020, @JAMFSoftware has updated its FAQ page to include information about COVID-19. For now, no change in plans for the September/October dates.

https://t.co/9Zl0mHzXw3",12
2020-03-11 19:00:47+00:00,"Minneapolis, MN",I am INTO this response to COVID-19. https://t.co/6NwPaJzHU4,1
2020-03-11 18:21:53+00:00,"Saint Paul, MN",IFO COVID-19 Statement  https://t.co/oZAnYeYXgO,1
2020-03-11 18:21:34+00:00,"Minneapolis, MN",Just in - Minnesota Department of Health confirms two additional #COVID19 cases in Olmsted and Ramsey Counties  #coronavirus https://t.co/dMXDlt5doI,0
2020-03-11 18:04:34+00:00,"Des Moines, IA",Minnesota's 4th COVID-19 case confirmed in Olmsted County https://t.co/mIwFuibQtV,0
