Datetime,Location,Text,Like Count
2020-03-11 23:28:03+00:00,"Kansas City,MO",@Favoroso10 COVID 19 mortality rate is 10x worse then the season flu. There’s currently no treatment or containment protocol.,1
2020-03-11 22:35:33+00:00,,"LOYAL, FOREVER TRUE ""Cyclone"" fans back @SprintCenter here in K.C. @CycloneMBB @CycloneATH ! WE wouldn't miss the BIG XII tourn. 4 anything(well; except4 COVID-19)! #HILTONSOUTH #CyclonePower https://t.co/hclTi3BuiW",4
2020-03-11 21:51:39+00:00,Kansas City,#BREAKING: @SportingKC postpones next road match against the San Jose Earthquakes March 21st amidst growing COVID-19 concerns https://t.co/cA92OMhWhs,4
2020-03-11 21:43:54+00:00,United States,Will @realDonaldTrump’s presser tonight calm the nations nerves about corona virus? #COVID19,0
2020-03-11 20:38:23+00:00,"Elmwood Park, IL ➡️ Norman, OK","The NCAA just put out a statement recommending against sporting events being open to the public.

The Big 12 Tournament starts at 6 p.m. tonight with OSU-Iowa State. The conference had already put some precautions in place because of COVID-19. I guess we’ll see if more is coming https://t.co/lGshJv7rJE",4
2020-03-11 20:10:19+00:00,"Kansas City, MO",@GOPChairwoman Covid-19,0
2020-03-11 20:06:49+00:00,"Kansas City, MO","@GOPChairwoman Silly Ronna. You don’t get to blame this on Dems. CDC first posted level -3 travel warning about Corvid-19 on January 6 2020. What the hell has Trump’s Administration been doing for the last 2 months? Oh I know, ignores then lies about it.  #COVID19 #TrumpLiesAboutCoronavirus",0
2020-03-11 19:28:21+00:00,Kansas City Metro,"I hope colleges and universities switching to online courses in the face of COVID-19 will stamp out any remaining prejudice against digitally-delivered education. 

Online programs have their challenges, but a degree earned online shouldn’t have an asterisk by it.",2
2020-03-11 18:51:34+00:00,"Kansas City, MO",99.9% confident Trump attempts to suspend the November election based on COVID-19. Could easily draw all of this out for months.,5
2020-03-11 14:43:43+00:00, ,"A suspension of payroll/FICA tax also deeply compromises the programs for the people most affected by COVID-19: 
Senior Citizens.

FICA funds Social Security and Medicare. Of all the places to cut taxes, this is the most impactful to an already underfunded resource.",0
2020-03-11 13:47:59+00:00,"Charlotte, NC","From @RexArcherMD: KC expects more resources to test for coronavirus in the next month. However, right now there is no specific treatment/vaccine for COVID-19 so doctors treat symptoms regardless of diagnosis. A positive test would mostly impact quarantine recommendations. @KCTV5",1
2020-03-11 12:41:32+00:00,Kansas City,"Hard-earned wisdom from @dhellingkc As coronavirus hits the KC area, workers must have the option of calling in sick https://t.co/o7Jjwov8tW #coronavirus #COVID19",1
